"",BBAI3.Q.DE.N.V.LE.F62.SV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F62.SV.A1.S.1.N.E.Z_FLAGS
"",Assets / Property and casualty insurance companies / Prepayments of insurance premiums and res. for outstanding claims / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:46,
2005-10,24552,
2006-01,24604,
2006-04,24656,
2006-07,24709,
2006-10,24762,
2007-01,24639,
2007-04,24517,
2007-07,24396,
2007-10,24275,
2008-01,24235,
2008-04,24196,
2008-07,24156,
2008-10,24116,
2009-01,23807,
2009-04,23501,
2009-07,23200,
2009-10,22902,
2010-01,22664,
2010-04,22428,
2010-07,22195,
2010-10,21965,
2011-01,22388,
2011-04,22729,
2011-07,23077,
2011-10,23464,
2012-01,23543,
2012-04,23621,
2012-07,23700,
2012-10,23780,
2013-01,23354,
2013-04,23724,
2013-07,24343,
2013-10,25052,
2014-01,26586,
2014-04,26253,
2014-07,26047,
