"",BBAI3.Q.DE.N.V.LE.N.S125.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.N.S125.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations and pension funds (ICPFs) / Total non-financial assets / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:30,
2005-10,62364,
2006-01,62322,
2006-04,62462,
2006-07,62201,
2006-10,62293,
2007-01,59966,
2007-04,58978,
2007-07,58953,
2007-10,58485,
2008-01,55588,
2008-04,55821,
2008-07,55665,
2008-10,55778,
2009-01,56100,
2009-04,56216,
2009-07,56679,
2009-10,57149,
2010-01,58140,
2010-04,58786,
2010-07,59809,
2010-10,61408,
2011-01,61375,
2011-04,61442,
2011-07,61741,
2011-10,63370,
2012-01,63906,
2012-04,64894,
2012-07,65565,
2012-10,66282,
2013-01,67239,
2013-04,67888,
2013-07,69436,
2013-10,72193,
2014-01,73288,
2014-04,73906,
2014-07,75135,
