"",BBEX3.M.TND.USD.CA.AB.A01,BBEX3.M.TND.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Tunisia  / USD 1 = TND ... (selling),
unit,TND (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:25,
1966-03,0.5214,
1966-04,.,No value available
1966-05,.,No value available
1966-06,0.5215,
1966-07,0.5213,
1966-08,0.5223,
1966-09,0.5242,
1966-10,0.5257,
1966-11,0.5262,
1966-12,0.5266,
1967-01,0.5266,
1967-02,0.5266,
1967-03,0.5268,
1967-04,0.5260,
1967-05,0.5237,
1967-06,0.5218,
1967-07,0.5214,
1967-08,0.5219,
1967-09,0.5220,
1967-10,0.5216,
1967-11,0.5217,
1967-12,0.5222,
1968-01,0.5233,
1968-02,0.5239,
1968-03,0.5235,
1968-04,0.5251,
1968-05,0.5247,
1968-06,0.5265,
1968-07,0.5264,
1968-08,0.5258,
1968-09,0.5261,
1968-10,0.5265,
1968-11,0.5258,
1968-12,0.5252,
1969-01,0.5252,
1969-02,0.5258,
1969-03,0.5267,
1969-04,0.5265,
1969-05,0.5257,
1969-06,0.5262,
1969-07,0.5269,
1969-08,0.5259,
1969-09,0.5262,
1969-10,0.5263,
1969-11,0.5259,
1969-12,0.5258,
1970-01,0.5263,
1970-02,0.5258,
1970-03,0.5254,
1970-04,0.5254,
1970-05,0.5230,
1970-06,0.5260,
1970-07,0.5254,
1970-08,0.5250,
1970-09,0.5251,
1970-10,0.5256,
1970-11,0.5251,
1970-12,0.5255,
1971-01,0.5253,
1971-02,0.5252,
1971-03,0.5254,
1971-04,0.5253,
1971-05,0.5250,
1971-06,0.5250,
1971-07,0.5250,
1971-08,0.5302,
1971-09,0.5302,
1971-10,0.5302,
1971-11,0.5302,
1971-12,0.4963,
1972-01,0.4831,
1972-02,0.4798,
1972-03,0.4777,
1972-04,0.4783,
1972-05,0.4773,
1972-06,0.4797,
1972-07,0.4797,
1972-08,0.4773,
1972-09,0.4773,
1972-10,0.4802,
1972-11,0.4796,
1972-12,0.4864,
1973-01,0.4765,
1973-02,0.4370,
1973-03,0.4330,
1973-04,0.4332,
1973-05,0.4178,
1973-06,0.3930,
1973-07,0.3884,
1973-08,0.4081,
1973-09,0.4011,
1973-10,0.4039,
1973-11,0.4300,
1973-12,0.4473,
1974-01,0.4744,
1974-02,0.4517,
1974-03,0.4280,
1974-04,0.4229,
1974-05,0.4398,
1974-06,0.4438,
1974-07,0.4363,
1974-08,0.4500,
1974-09,0.4484,
1974-10,0.4364,
1974-11,0.4215,
1974-12,0.4106,
1975-01,0.3956,
1975-02,0.3838,
1975-03,0.3934,
1975-04,0.3920,
1975-05,0.3797,
1975-06,0.3823,
1975-07,0.4142,
1975-08,0.4183,
1975-09,0.4349,
1975-10,0.4150,
1975-11,0.4243,
1975-12,0.4274,
1976-01,0.4261,
1976-02,0.4242,
1976-03,0.4320,
1976-04,0.4291,
1976-05,0.4382,
1976-06,0.4373,
1976-07,0.4380,
1976-08,0.4337,
1976-09,0.4247,
1976-10,0.4235,
1976-11,0.4311,
1976-12,0.4331,
1977-01,0.4376,
1977-02,0.4396,
1977-03,0.4392,
1977-04,0.4341,
1977-05,0.4325,
1977-06,0.4291,
1977-07,0.4250,
1977-08,0.4361,
1977-09,0.4360,
1977-10,0.4329,
1977-11,0.4288,
1977-12,0.4141,
1978-01,0.4205,
1978-02,0.4174,
1978-03,0.4183,
1978-04,0.4255,
1978-05,0.4270,
1978-06,0.4233,
1978-07,0.4185,
1978-08,0.4156,
1978-09,0.4146,
1978-10,0.3970,
1978-11,0.4163,
1978-12,0.4054,
1979-01,0.4097,
1979-02,0.4093,
1979-03,0.4108,
1979-04,0.4133,
1979-05,0.4166,
1979-06,0.4094,
1979-07,0.4080,
1979-08,0.4081,
1979-09,0.4008,
1979-10,0.4073,
1979-11,0.4010,
1979-12,0.3978,
1980-01,0.3996,
1980-02,0.4024,
1980-03,0.4172,
1980-04,0.4055,
1980-05,0.4032,
1980-06,0.4018,
1980-07,0.4012,
1980-08,0.4043,
1980-09,0.4064,
1980-10,0.4130,
1980-11,0.4175,
1980-12,0.4208,
1981-01,0.4348,
1981-02,0.4387,
1981-03,0.4534,
1981-04,0.4933,
1981-05,0.5143,
1981-06,0.5202,
1981-07,0.5376,
1981-08,0.5342,
1981-09,0.5156,
1981-10,0.5159,
1981-11,0.5091,
1981-12,0.5182,
1982-01,0.5305,
1982-02,0.5443,
1982-03,0.5694,
1982-04,0.5609,
1982-05,0.5630,
1982-06,0.6091,
1982-07,0.6195,
1982-08,0.6295,
1982-09,0.6387,
1982-10,0.6443,
1982-11,0.6334,
1982-12,0.6188,
1983-01,0.6363,
1983-02,0.6321,
1983-03,0.6592,
1983-04,0.6661,
1983-05,0.6787,
1983-06,0.6849,
1983-07,0.7045,
1983-08,0.7182,
1983-09,0.7080,
1983-10,0.7072,
1983-11,0.7223,
1983-12,0.7307,
1984-01,0.7536,
1984-02,0.7156,
1984-03,0.7144,
1984-04,0.7378,
1984-05,0.7507,
1984-06,0.7653,
1984-07,0.7879,
1984-08,0.8044,
1984-09,0.8368,
1984-10,0.8386,
1984-11,0.8584,
1984-12,0.8709,
1985-01,0.8781,
1985-02,0.9182,
1985-03,0.8603,
1985-04,0.8615,
1985-05,0.8592,
1985-06,0.8540,
1985-07,0.8036,
1985-08,0.8011,
1985-09,0.8051,
1985-10,0.7971,
1985-11,0.7741,
1985-12,0.7607,
1986-01,0.7390,
1986-02,0.7088,
1986-03,0.7437,
1986-04,0.7399,
1986-05,0.7784,
1986-06,0.7897,
1986-07,0.7665,
1986-08,0.8644,comment
1986-09,0.8677,
1986-10,0.8821,
1986-11,0.8541,
1986-12,0.8444,
1987-01,0.8042,
1987-02,0.8233,
1987-03,0.8252,
1987-04,0.8258,
1987-05,0.8412,
1987-06,0.8508,
1987-07,0.8630,
1987-08,0.8452,
1987-09,0.8528,
1987-10,0.8265,
1987-11,0.7989,
1987-12,0.7817,
1988-01,0.8090,
1988-02,0.8193,
1988-03,0.8126,
1988-04,0.8221,
1988-05,0.8444,
1988-06,0.8833,
1988-07,0.9036,
1988-08,0.9115,
1988-09,0.9154,
1988-10,0.8890,
1988-11,0.8809,
1988-12,0.9029,
1989-01,0.9419,
1989-02,0.9344,
1989-03,0.9569,
1989-04,0.9498,
1989-05,0.9898,
1989-06,0.9798,
1989-07,0.9477,
1989-08,0.9649,
1989-09,0.9493,
1989-10,0.9529,
1989-11,0.9481,
1989-12,0.9091,
1990-01,0.9094,
1990-02,0.9110,
1990-03,0.9087,
1990-04,0.9028,
1990-05,0.9084,
1990-06,0.9041,
1990-07,0.8787,
1990-08,0.8657,
1990-09,0.8687,
1990-10,0.8438,
1990-11,0.8304,
1990-12,0.8505,
1991-01,0.8366,
1991-02,0.8547,
1991-03,0.9446,
1991-04,0.9665,
1991-05,0.9626,
1991-06,0.9969,
1991-07,0.9690,
1991-08,0.9692,
1991-09,0.9370,
1991-10,0.9472,
1991-11,0.9255,
