"",BBK01.CEFX51,BBK01.CEFX51_FLAGS
"",Non-life insurance technical reserves  debtor: Total                                                          creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:58,
1999-01,31.1,
1999-04,31.6,
1999-07,32.1,
1999-10,32.7,
2000-01,33.7,
2000-04,34.1,
2000-07,34.5,
2000-10,33.1,
2001-01,34.1,
2001-04,34.5,
2001-07,35.4,
2001-10,34.8,
2002-01,36.4,
2002-04,36.8,
2002-07,37.3,
2002-10,35.8,
2003-01,36.3,
2003-04,36.9,
2003-07,37.2,
2003-10,36.1,
2004-01,36.7,
2004-04,36.8,
2004-07,37.2,
2004-10,37.5,
2005-01,38.4,
2005-04,38.6,
2005-07,39.3,
2005-10,39.4,
2006-01,41.9,
2006-04,42.5,
2006-07,43.0,
2006-10,42.8,
2007-01,41.9,
2007-04,40.9,
2007-07,40.0,
2007-10,41.9,
2008-01,42.0,
2008-04,42.0,
2008-07,42.1,
2008-10,41.1,
2009-01,41.2,
2009-04,41.4,
2009-07,41.6,
2009-10,41.9,
2010-01,41.7,
2010-04,41.5,
2010-07,41.4,
2010-10,41.3,
2011-01,41.5,
2011-04,41.7,
2011-07,41.9,
2011-10,41.9,
2012-01,42.2,
2012-04,42.6,
2012-07,42.9,
2012-10,43.3,
2013-01,43.9,
2013-04,44.6,
2013-07,45.4,
2013-10,46.1,
2014-01,46.5,
2014-04,46.9,
2014-07,47.3,
