"",BBEX3.M.AUD.USD.CM.AC.A01,BBEX3.M.AUD.USD.CM.AC.A01_FLAGS
"",Exchange rates for the US dollar in Australia / AUD 1 = USD ... (middle),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:46,
1980-01,1.1069,
1980-02,1.0987,
1980-03,1.0831,
1980-04,1.1145,
1980-05,1.1426,
1980-06,1.1576,
1980-07,1.1525,
1980-08,1.1656,
1980-09,1.1690,
1980-10,1.1726,
1980-11,1.1643,
1980-12,1.1807,
1981-01,1.1707,
1981-02,1.1566,
1981-03,1.1684,
1981-04,1.1505,
1981-05,1.1385,
1981-06,1.1480,
1981-07,1.1356,
1981-08,1.1508,
1981-09,1.1414,
1981-10,1.1350,
1981-11,1.1514,
1981-12,1.1279,
1982-01,1.0994,
1982-02,1.0740,
1982-03,1.0503,
1982-04,1.0608,
1982-05,1.0482,
1982-06,1.0223,
1982-07,0.9958,
1982-08,0.9643,
1982-09,0.9493,
1982-10,0.9367,
1982-11,0.9548,
1982-12,0.9806,
1983-01,0.9718,
1983-02,0.9606,
1983-03,0.8629,comment
1983-04,0.8680,
1983-05,0.8820,
1983-06,0.8745,
1983-07,0.8810,
1983-08,0.8785,
1983-09,0.8965,
1983-10,0.9170,
1983-11,0.9130,
1983-12,0.8950,
1984-01,0.9150,
1984-02,0.9420,
1984-03,0.9350,
1984-04,0.9188,
1984-05,0.9000,
1984-06,0.8650,
1984-07,0.8320,
1984-08,0.8470,
1984-09,0.8323,
1984-10,0.8495,
1984-11,0.8595,
1984-12,0.8285,
1985-01,0.8155,
1985-02,0.7100,
1985-03,0.7025,
1985-04,0.6475,
1985-05,0.6590,
1985-06,0.6625,
1985-07,0.7200,
1985-08,0.7015,
1985-09,0.7085,
1985-10,0.6995,
1985-11,0.6840,
1985-12,0.6790,
1986-01,0.7140,
1986-02,0.6975,
1986-03,0.7100,
1986-04,0.7375,
1986-05,0.7145,
1986-06,0.6705,
1986-07,0.6035,
1986-08,0.6050,
1986-09,0.6245,
1986-10,0.6370,
1986-11,0.6465,
1986-12,0.6615,
1987-01,0.6590,
1987-02,0.6730,
1987-03,0.7000,
1987-04,0.7015,
1987-05,0.7110,
1987-06,0.7180,
1987-07,0.6940,
1987-08,0.7088,
1987-09,0.7145,
1987-10,0.6710,
1987-11,0.6940,
1987-12,0.7185,
1988-01,0.7115,
1988-02,0.7175,
1988-03,0.7360,
1988-04,0.7570,
1988-05,0.8015,
1988-06,0.7860,
1988-07,0.8020,
1988-08,0.8055,
1988-09,0.7820,
1988-10,0.8220,
1988-11,0.8740,
1988-12,0.8540,
1989-01,0.8860,
1989-02,0.7945,
1989-03,0.8180,
1989-04,0.7920,
1989-05,0.7490,
1989-06,0.7495,
1989-07,0.7450,
1989-08,0.7640,
1989-09,0.7715,
