"",BBSF2.M.1.S.I1251.REN01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1251.REN01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Number / Life insurance corporations / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:49:37,
2009-01,0,
2009-02,0,
2009-03,0,
2009-04,0,
2009-05,0,
2009-06,0,
2009-07,0,
2009-08,0,
2009-09,31,
2009-10,30,
2009-11,29,
2009-12,31,
2010-01,31,
2010-02,32,
2010-03,32,
2010-04,32,
2010-05,32,
2010-06,32,
2010-07,28,
2010-08,29,
2010-09,32,
2010-10,32,
2010-11,35,
2010-12,35,
2011-01,35,
2011-02,35,
2011-03,35,
2011-04,35,
2011-05,35,
2011-06,35,
2011-07,35,
2011-08,35,
2011-09,35,
2011-10,35,
2011-11,35,
2011-12,35,
2012-01,35,
2012-02,34,
2012-03,35,
2012-04,35,
2012-05,35,
2012-06,35,
2012-07,35,
2012-08,35,
2012-09,35,
2012-10,35,
2012-11,35,
2012-12,36,
2013-01,36,
2013-02,36,
2013-03,36,
2013-04,35,
2013-05,35,
2013-06,35,
2013-07,35,
2013-08,35,
2013-09,35,
2013-10,33,
2013-11,33,
2013-12,33,
2014-01,32,
2014-02,31,
2014-03,31,
2014-04,30,
2014-05,30,
2014-06,30,
2014-07,29,
2014-08,29,
2014-09,29,
2014-10,29,
2014-11,30,
