"",BBQFS.M.U2.BANK.BOND_FOR_SH.U2.GOVE,BBQFS.M.U2.BANK.BOND_FOR_SH.U2.GOVE_FLAGS
"",Euro-area Monetary financial institutions' holdings of securities issued by foreign general government in the euro area - share in institutions' total holdings of euro-area general government securities (FSR 2014),
unit,% (hypothetically euro-based),
unit multiplier,one,
last update,2015-01-07 17:10:03,
1998-01,15.77,
1998-02,16.53,
1998-03,16.67,
1998-04,17.04,
1998-05,17.88,
1998-06,18.75,
1998-07,18.68,
1998-08,18.55,
1998-09,18.47,
1998-10,19.12,
1998-11,20.57,
1998-12,21.79,
1999-01,21.97,
1999-02,21.91,
1999-03,23.64,
1999-04,24.41,
1999-05,25.44,
1999-06,25.92,
1999-07,26.48,
1999-08,27.08,
1999-09,27.68,
1999-10,27.63,
1999-11,28.45,
1999-12,28.54,
2000-01,29.03,
2000-02,29.44,
2000-03,29.81,
2000-04,29.78,
2000-05,30.34,
2000-06,29.75,
2000-07,30.03,
2000-08,29.63,
2000-09,30.22,
2000-10,30.81,
2000-11,30.71,
2000-12,31.44,
2001-01,32.02,
2001-02,32.46,
2001-03,32.92,
2001-04,32.31,
2001-05,32.69,
2001-06,32.90,
2001-07,33.04,
2001-08,33.62,
2001-09,34.30,
2001-10,34.58,
2001-11,34.23,
2001-12,34.59,
2002-01,34.94,
2002-02,34.99,
2002-03,35.36,
2002-04,35.86,
2002-05,35.36,
2002-06,35.68,
2002-07,36.87,
2002-08,37.26,
2002-09,37.28,
2002-10,36.95,
2002-11,37.12,
2002-12,37.46,
2003-01,38.11,
2003-02,38.31,
2003-03,38.01,
2003-04,39.03,
2003-05,39.38,
2003-06,38.99,
2003-07,39.88,
2003-08,39.77,
2003-09,40.24,
2003-10,40.44,
2003-11,39.97,
2003-12,40.83,
2004-01,41.67,
2004-02,42.54,
2004-03,42.21,
2004-04,42.81,
2004-05,42.99,
2004-06,42.22,
2004-07,42.89,
2004-08,43.18,
2004-09,42.26,
2004-10,43.99,
2004-11,43.97,
2004-12,43.84,
2005-01,44.74,
2005-02,44.53,
2005-03,44.22,
2005-04,45.54,
2005-05,45.83,
2005-06,45.93,
2005-07,46.63,
2005-08,46.63,
2005-09,46.64,
2005-10,46.84,
2005-11,48.97,
2005-12,48.82,
2006-01,49.74,
2006-02,49.72,
2006-03,49.84,
2006-04,49.98,
2006-05,48.65,
2006-06,49.12,
2006-07,48.70,
2006-08,48.67,
2006-09,48.61,
2006-10,48.62,
2006-11,47.86,
2006-12,47.64,
2007-01,47.46,
2007-02,46.98,
2007-03,46.63,
2007-04,46.19,
2007-05,46.25,
2007-06,46.28,
2007-07,45.97,
2007-08,46.30,
2007-09,46.06,
2007-10,46.30,
2007-11,46.12,
2007-12,46.59,
2008-01,46.83,
2008-02,45.64,
2008-03,45.87,
2008-04,46.23,
2008-05,45.93,
2008-06,46.61,
2008-07,47.01,
2008-08,47.20,
2008-09,47.24,
2008-10,47.11,
2008-11,46.71,
2008-12,46.91,
2009-01,46.24,
2009-02,45.66,
2009-03,44.89,
2009-04,44.44,
2009-05,44.26,
2009-06,44.25,
2009-07,44.65,
2009-08,44.35,
2009-09,44.16,
2009-10,44.58,
2009-11,44.29,
2009-12,44.11,
2010-01,44.16,
2010-02,43.79,
2010-03,43.36,
2010-04,42.11,
2010-05,40.27,
2010-06,39.37,
2010-07,39.42,
2010-08,39.23,
2010-09,38.75,
2010-10,35.85,
2010-11,37.26,
2010-12,36.04,
2011-01,36.18,
2011-02,36.24,
2011-03,32.59,
2011-04,32.41,
2011-05,31.88,
2011-06,31.39,
2011-07,30.94,
2011-08,30.57,
2011-09,30.03,
2011-10,29.09,
2011-11,28.52,
2011-12,27.69,
2012-01,26.47,
2012-02,24.72,
2012-03,23.84,
2012-04,23.68,
2012-05,24.27,
2012-06,23.54,
2012-07,23.38,
2012-08,23.42,
2012-09,23.04,
2012-10,22.61,
2012-11,23.02,
2012-12,23.10,
2013-01,22.57,
2013-02,22.34,
2013-03,22.26,
2013-04,22.11,
2013-05,22.17,
2013-06,21.91,
2013-07,22.19,
2013-08,22.65,
2013-09,22.45,
2013-10,22.91,
2013-11,23.12,
2013-12,22.49,
2014-01,23.71,
2014-02,23.78,
2014-03,23.64,
2014-04,23.71,
2014-05,24.11,
2014-06,24.22,
2014-07,24.55,
2014-08,24.93,
2014-09,25.10,
"",Source: ECB and Bundesbank calculations,
"",Methodology: Excluding central banks.,
