"",BBAI3.Q.DE.N.V.LE.F4.EV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F4.EV.A1.S.1.N.E.Z_FLAGS
"",Assets / Primary insurance companies / Loans / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:20,
2005-10,152115,
2006-01,155999,
2006-04,158209,
2006-07,160585,
2006-10,160629,
2007-01,162038,
2007-04,162599,
2007-07,167904,
2007-10,168367,
2008-01,165839,
2008-04,167805,
2008-07,168417,
2008-10,167889,
2009-01,175527,
2009-04,180691,
2009-07,183112,
2009-10,186195,
2010-01,190580,
2010-04,192002,
2010-07,192633,
2010-10,192936,
2011-01,193614,
2011-04,193982,
2011-07,194839,
2011-10,193577,
2012-01,196037,
2012-04,194944,
2012-07,196049,
2012-10,196946,
2013-01,198429,
2013-04,198796,
2013-07,200614,
2013-10,199766,
2014-01,202009,
2014-04,202828,
2014-07,203035,
