"",BBAI3.Q.DE.N.V.LE.F33.S125.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F33.S125.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations and pension funds (ICPFs) / Securities other than shares excluding financial derivatives / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:24,
2005-10,152991,
2006-01,153164,
2006-04,153001,
2006-07,156605,
2006-10,149925,
2007-01,160298,
2007-04,154519,
2007-07,155602,
2007-10,155119,
2008-01,149618,
2008-04,146477,
2008-07,148747,
2008-10,159363,
2009-01,150978,
2009-04,159595,
2009-07,165765,
2009-10,169166,
2010-01,186910,
2010-04,194541,
2010-07,196798,
2010-10,205420,
2011-01,206774,
2011-04,210354,
2011-07,215894,
2011-10,220813,
2012-01,242069,
2012-04,253327,
2012-07,271217,
2012-10,283501,
2013-01,297730,
2013-04,299344,
2013-07,304600,
2013-10,316888,
2014-01,332666,
2014-04,349161,
2014-07,366191,
