"",BBAI3.Q.DE.N.V.LE.F7.RV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F7.RV.A1.S.1.N.E.Z_FLAGS
"",Assets / Reinsurance companies / Other accounts receivable/payable / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:02,
2005-10,41270,
2006-01,37976,
2006-04,35013,
2006-07,34090,
2006-10,33198,
2007-01,32314,
2007-04,31462,
2007-07,29546,
2007-10,27769,
2008-01,26499,
2008-04,25308,
2008-07,25473,
2008-10,25733,
2009-01,25786,
2009-04,25934,
2009-07,24057,
2009-10,22363,
2010-01,22911,
2010-04,23474,
2010-07,23659,
2010-10,23865,
2011-01,23350,
2011-04,22916,
2011-07,22432,
2011-10,21985,
2012-01,21792,
2012-04,21619,
2012-07,21378,
2012-10,21221,
2013-01,21381,
2013-04,21553,
2013-07,20431,
2013-10,19379,
2014-01,19110,
2014-04,18853,
2014-07,19095,
