"",BBDP1.Q.DE.N.BP.O.B1A0000000.I10.A,BBDP1.Q.DE.N.BP.O.B1A0000000.I10.A_FLAGS
"",Construction price index / Germany / Unadjusted figure / Total,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-01-08 08:08:58,
1968-01,22.8,
1968-04,22.8,
1968-07,23.2,
1968-10,23.3,
1969-01,23.4,
1969-04,24.1,
1969-07,24.8,
1969-10,25.6,
1970-01,27.3,
1970-04,28.5,
1970-07,28.9,
1970-10,29.4,
1971-01,30.1,
1971-04,31.6,
1971-07,31.6,
1971-10,31.6,
1972-01,32.1,
1972-04,32.8,
1972-07,33.1,
1972-10,33.2,
1973-01,33.7,
1973-04,35.0,
1973-07,35.2,
1973-10,35.0,
1974-01,36.0,
1974-04,37.7,
1974-07,37.9,
1974-10,37.8,
1975-01,37.8,
1975-04,38.3,
1975-07,38.3,
1975-10,38.3,
1976-01,38.5,
1976-04,39.4,
1976-07,39.7,
1976-10,39.9,
1977-01,40.0,
1977-04,41.2,
1977-07,41.5,
1977-10,41.6,
1978-01,42.4,
1978-04,43.2,
1978-07,44.0,
1978-10,44.4,
1979-01,45.0,
1979-04,47.0,
1979-07,48.3,
1979-10,49.0,
1980-01,50.5,
1980-04,52.6,
1980-07,53.3,
1980-10,53.5,
1981-01,54.0,
1981-04,55.4,
1981-07,55.7,
1981-10,55.8,
1982-01,56.4,
1982-04,56.7,
1982-07,56.9,
1982-10,56.7,
1983-01,56.7,
1983-04,57.4,
1983-07,58.2,
1983-10,58.2,
1984-01,58.6,
1984-04,59.1,
1984-07,59.3,
1984-10,59.2,
1985-01,59.2,
1985-04,59.3,
1985-07,59.7,
1985-10,59.8,
1986-01,60.1,
1986-04,60.5,
1986-07,60.8,
1986-10,61.0,
1987-01,61.2,
1987-04,61.6,
1987-07,61.9,
1987-10,62.0,
1988-01,62.2,
1988-04,62.8,
1988-07,63.2,
1988-10,63.5,
1989-01,64.0,
1989-04,64.9,
1989-07,65.3,
1989-10,65.8,
1990-01,67.1,
1990-04,68.9,
1990-07,69.7,
1990-10,70.4,
1991-01,71.6,
1991-04,73.6,
1991-07,74.7,
1991-10,75.3,
1992-01,76.7,
1992-04,78.2,
1992-07,79.2,
1992-10,79.4,
1993-01,80.8,
1993-04,81.8,
1993-07,82.0,
1993-10,82.2,
1994-01,82.6,
1994-04,83.3,
1994-07,83.7,
1994-10,84.0,
1995-01,84.6,
1995-04,85.3,
1995-07,85.3,
1995-10,85.3,
1996-01,85.1,
1996-04,85.0,
1996-07,84.9,
1996-10,84.7,
1997-01,84.6,
1997-04,84.4,
1997-07,84.3,
1997-10,84.0,
1998-01,83.8,
1998-04,84.4,
1998-07,84.3,
1998-10,84.0,
1999-01,83.9,
1999-04,83.8,
1999-07,83.9,
1999-10,84.0,
2000-01,84.2,
2000-04,84.4,
2000-07,84.6,
2000-10,84.7,
2001-01,84.7,
2001-04,84.7,
2001-07,84.7,
2001-10,84.6,
2002-01,84.6,
2002-04,84.6,
2002-07,84.7,
2002-10,84.6,
2003-01,84.7,
2003-04,84.7,
2003-07,84.7,
2003-10,84.7,
2004-01,84.9,
2004-04,85.6,
2004-07,85.9,
2004-10,86.1,
2005-01,86.6,
2005-04,86.6,
2005-07,86.6,
2005-10,86.8,
2006-01,87.4,
2006-04,88.0,
2006-07,89.2,
2006-10,90.0,
2007-01,93.8,
2007-04,94.5,
2007-07,95.0,
2007-10,95.6,
2008-01,96.6,
2008-04,97.5,
2008-07,98.8,
2008-10,98.8,
2009-01,99.1,
2009-04,98.9,
2009-07,99.1,
2009-10,99.1,
2010-01,99.2,
2010-04,99.9,
2010-07,100.3,
2010-10,100.6,
2011-01,101.8,
2011-04,102.6,
2011-07,103.4,
2011-10,103.7,
2012-01,104.8,
2012-04,105.5,
2012-07,106.0,
2012-10,106.3,
2013-01,107.1,
2013-04,107.7,
2013-07,108.2,
2013-10,108.4,
2014-01,109.2,
2014-04,109.5,
2014-07,110.0,
2014-10,110.1,
"","Methodology: 1 Source: Bundesbank calculations using Federal Statistical Office data. - 2 Territorial definition: 1968 Q1 to 1990 Q4, western Germany; from 1991 Q1, Germany. - 3 Methodology: From 1968 Q1 to 1987 Q4: Series for western Germany based on 1991 = 100 chain-linked with the series for Germany based on 1995 = 100 via 1988 Q1.  From 1988 Q1 to 1994 Q4:Aggregation of partial series recalculated by the Federal Statistical Office. From 1968 Q1 to 1999 Q4: Series based on 1995 = 100 chain-linked with the series based on 2000 = 100 via 2000 Q1. From 2000 Q1 to 2004 Q4: Aggregation of partial series calculated by the Federal Statistical Office. From 1968 Q1 to 2004 Q4: Series based on 2000 = 100 chain-linked with the series based on 2005 = 100 via 2005 Q1. From 2005 Q1: Aggregation of partial series calculated by the Federal Statistical Office. From 1968 Q1 to 2009 Q4: Series based on 2005 = 100 chain-linked with the series based on 2010 = 100 via 2010 Q1. From 2010 Q1: Aggregation of partial series calculated by the Federal Statistical Office.",
