"",BBK01.CEH7B0,BBK01.CEH7B0_FLAGS
"",Other liabilities  debtor: Insurance corporations                    creditor:  All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:19:10,
1991-01,-5.4,
1991-04,2.4,
1991-07,-0.3,
1991-10,1.7,
1992-01,-1.9,
1992-04,-8.9,
1992-07,10.4,
1992-10,0.3,
1993-01,0.7,
1993-04,-12.3,
1993-07,12.0,
1993-10,-4.1,
1994-01,8.3,
1994-04,-5.3,
1994-07,1.1,
1994-10,-10.2,
1995-01,-16.9,
1995-04,2.4,
1995-07,1.2,
1995-10,6.0,
1996-01,-2.8,
1996-04,1.8,
1996-07,0.9,
1996-10,-1.5,
1997-01,-2.1,
1997-04,1.7,
1997-07,-1.8,
1997-10,5.3,
1998-01,-3.5,
1998-04,-0.6,
1998-07,1.0,
1998-10,7.0,
1999-01,4.4,
1999-04,-4.6,
1999-07,-0.5,
1999-10,4.8,
2000-01,7.0,
2000-04,2.6,
2000-07,-3.3,
2000-10,-7.5,
2001-01,-0.5,
2001-04,0.7,
2001-07,-7.3,
2001-10,32.1,
2002-01,13.9,
2002-04,-0.9,
2002-07,-4.0,
2002-10,26.8,
2003-01,-7.7,
2003-04,-7.9,
2003-07,-5.8,
2003-10,32.2,
2004-01,3.0,
2004-04,-4.6,
2004-07,-4.7,
2004-10,-9.0,
2005-01,14.4,
2005-04,1.2,
2005-07,3.3,
2005-10,7.9,
2006-01,-7.6,
2006-04,7.4,
2006-07,-8.8,
2006-10,0.8,
2007-01,0.4,
2007-04,2.6,
2007-07,-1.2,
2007-10,-1.5,
2008-01,0.5,
2008-04,-5.9,
2008-07,3.7,
2008-10,2.2,
2009-01,3.9,
2009-04,-14.8,
2009-07,-12.1,
2009-10,-12.8,
2010-01,4.7,
2010-04,-12.2,
2010-07,-5.0,
2010-10,7.0,
2011-01,7.4,
2011-04,9.5,
2011-07,-1.3,
2011-10,1.4,
2012-01,10.7,
2012-04,-10.3,
2012-07,-2.0,
2012-10,16.9,
2013-01,10.1,
2013-04,-13.5,
2013-07,-2.0,
2013-10,-1.1,
2014-01,3.6,
