"",BBAI3.Q.DE.N.V.LE.F62.SV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F62.SV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Property and casualty insurance companies / Prepayments of insurance premiums and res. for outstanding claims / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:28,
2005-10,101938,
2006-01,106865,
2006-04,106360,
2006-07,107858,
2006-10,107740,
2007-01,112772,
2007-04,110831,
2007-07,110235,
2007-10,108796,
2008-01,113418,
2008-04,112371,
2008-07,111598,
2008-10,109296,
2009-01,114349,
2009-04,112241,
2009-07,110670,
2009-10,111212,
2010-01,116331,
2010-04,113507,
2010-07,110182,
2010-10,109527,
2011-01,114306,
2011-04,113006,
2011-07,112177,
2011-10,111894,
2012-01,115953,
2012-04,115436,
2012-07,115085,
2012-10,115634,
2013-01,122027,
2013-04,121964,
2013-07,121875,
2013-10,123209,
2014-01,130626,
2014-04,128991,
2014-07,127980,
