"",BBAI3.Q.DE.N.V.LE.F29AB.SV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AB.SV.A1.S.1.N.E.Z_FLAGS
"",Assets / Property and casualty insurance companies / Deposits over 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:41,
2005-10,39669,
2006-01,44913,
2006-04,44244,
2006-07,45631,
2006-10,43503,
2007-01,47826,
2007-04,46911,
2007-07,46191,
2007-10,44887,
2008-01,49470,
2008-04,46820,
2008-07,45923,
2008-10,44847,
2009-01,49537,
2009-04,47063,
2009-07,45417,
2009-10,44667,
2010-01,48053,
2010-04,44145,
2010-07,42400,
2010-10,41981,
2011-01,45105,
2011-04,42957,
2011-07,41343,
2011-10,36930,
2012-01,37287,
2012-04,36604,
2012-07,36262,
2012-10,34805,
2013-01,35716,
2013-04,35136,
2013-07,34051,
2013-10,32991,
2014-01,32898,
2014-04,32041,
2014-07,31453,
