"",BBAI3.Q.DE.N.V.LE.F29AB.LV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AB.LV.A1.S.1.N.E.Z_FLAGS
"",Assets / Life insurance companies / Deposits over 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:25,
2005-10,248704,
2006-01,246728,
2006-04,250461,
2006-07,253267,
2006-10,256176,
2007-01,257706,
2007-04,263193,
2007-07,266231,
2007-10,270634,
2008-01,267378,
2008-04,271605,
2008-07,270574,
2008-10,267081,
2009-01,268425,
2009-04,272981,
2009-07,273462,
2009-10,267546,
2010-01,267333,
2010-04,266847,
2010-07,265324,
2010-10,258095,
2011-01,256530,
2011-04,256794,
2011-07,255739,
2011-10,251455,
2012-01,247750,
2012-04,245300,
2012-07,242778,
2012-10,239438,
2013-01,237202,
2013-04,234867,
2013-07,231095,
2013-10,227246,
2014-01,222304,
2014-04,220002,
2014-07,217918,
