"",BBFN1.M.DE.N.1.A.IN.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IN.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
2004-05,0.152,
2004-06,0.154,
2004-07,0.110,
2004-08,0.161,
2004-09,0.212,
2004-10,0.169,
2004-11,0.123,
2004-12,0.125,
2005-01,0.129,
2005-02,0.137,
2005-03,0.134,
2005-04,0.141,
2005-05,0.151,
2005-06,0.195,
2005-07,0.206,
2005-08,0.196,
2005-09,0.173,
2005-10,0.184,
2005-11,0.179,
2005-12,0.182,
2006-01,0.187,
2006-02,0.191,
2006-03,0.189,
2006-04,0.210,
2006-05,0.211,
2006-06,0.209,
2006-07,0.212,
2006-08,0.251,
2006-09,0.287,
2006-10,0.316,
2006-11,0.289,
2006-12,0.288,
2007-01,0.254,
2007-02,0.248,
2007-03,0.219,
2007-04,0.160,
2007-05,0.164,
2007-06,0.192,
2007-07,0.178,
2007-08,0.217,
2007-09,0.218,
2007-10,0.212,
2007-11,0.241,
2007-12,0.236,
2008-01,0.202,
2008-02,0.195,
2008-03,0.203,
2008-04,0.230,
2008-05,0.191,
2008-06,0.192,
2008-07,0.197,
2008-08,0.213,
2008-09,0.201,
2008-10,0.217,
2008-11,0.211,
2008-12,0.189,
2009-01,0.203,
2009-02,0.210,
2009-03,0.208,
2009-04,0.224,
2009-05,0.238,
2009-06,0.265,
2009-07,0.256,
2009-08,0.285,
2009-09,0.261,
2009-10,0.285,
2009-11,0.285,
2009-12,0.303,
2010-01,0.332,
2010-02,0.350,
2010-03,0.371,
2010-04,0.385,
2010-05,0.412,
2010-06,0.429,
2010-07,0.418,
2010-08,0.436,
2010-09,0.429,
2010-10,0.356,
2010-11,0.376,
2010-12,0.344,
2011-01,0.344,
2011-02,0.347,
2011-03,0.341,
2011-04,0.349,
2011-05,0.320,
2011-06,0.352,
2011-07,0.358,
2011-08,0.442,
2011-09,0.331,
2011-10,0.342,
2011-11,0.372,
2011-12,0.348,
2012-01,0.315,
2012-02,0.368,
2012-03,0.369,
2012-04,0.375,
2012-05,0.407,
2012-06,0.449,
2012-07,0.457,
2012-08,0.475,
2012-09,0.420,
2012-10,0.339,
2012-11,0.329,
2012-12,0.312,
2013-01,0.337,
2013-02,0.385,
2013-03,0.409,
2013-04,0.436,
2013-05,0.446,
2013-06,0.471,
2013-07,0.319,
2013-08,0.412,
2013-09,0.383,
2013-10,0.302,
2013-11,0.317,
2013-12,0.315,
2014-01,0.360,
2014-02,0.345,
2014-03,0.348,
2014-04,0.354,
2014-05,0.362,
2014-06,0.367,
2014-07,0.338,
2014-08,0.341,
2014-09,0.316,
2014-10,0.343,
2014-11,0.304,
2014-12,0.271,
