"",BBDE1.Q.DE.Y.LCA1.A2N200000.A.L.I08.A1,BBDE1.Q.DE.Y.LCA1.A2N200000.A.L.I08.A1_FLAGS
"",Index of labour costs / Germany / Private sector (B-N) / Calendar and seasonally adjusted,
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:10,
1996-01,78.542,
1996-04,78.623,
1996-07,79.690,
1996-10,81.358,
1997-01,81.543,
1997-04,79.788,
1997-07,80.640,
1997-10,81.506,
1998-01,81.182,
1998-04,81.701,
1998-07,82.134,
1998-10,82.627,
1999-01,82.768,
1999-04,83.634,
1999-07,83.958,
1999-10,83.964,
2000-01,84.900,
2000-04,86.360,
2000-07,87.017,
2000-10,87.867,
2001-01,87.742,
2001-04,88.773,
2001-07,89.288,
2001-10,89.872,
2002-01,90.724,
2002-04,90.162,
2002-07,91.555,
2002-10,92.078,
2003-01,93.440,
2003-04,93.714,
2003-07,93.724,
2003-10,93.814,
2004-01,94.710,
2004-04,94.652,
2004-07,94.190,
2004-10,94.191,
2005-01,95.792,
2005-04,94.493,
2005-07,95.067,
2005-10,95.388,
2006-01,96.000,
2006-04,96.494,
2006-07,97.211,
2006-10,97.121,
2007-01,96.296,
2007-04,97.535,
2007-07,97.839,
2007-10,98.759,
2008-01,99.556,
2008-04,97.879,
2008-07,99.764,
2008-10,102.801,
2009-01,102.229,
2009-04,101.957,
2009-07,102.394,
2009-10,101.871,
2010-01,103.396,
2010-04,102.876,
2010-07,103.523,
2010-10,103.847,
2011-01,105.175,
2011-04,106.440,
2011-07,106.415,
2011-10,107.478,
2012-01,107.644,
2012-04,110.353,
2012-07,110.482,
2012-10,111.105,
2013-01,111.783,
2013-04,111.030,
2013-07,110.716,
2013-10,112.265,
2014-01,112.139,
2014-04,113.298,
2014-07,113.132,
