"",BBSF2.M.1.P.00000.GEL01.I.F.GMP.Z5.00000.F33100.Z01.B1,BBSF2.M.1.P.00000.GEL01.I.F.GMP.Z5.00000.F33100.Z01.B1_FLAGS
1992-08,-,Nothing exists
1992-09,-,Nothing exists
1992-10,-,Nothing exists
1992-11,-,Nothing exists
1992-12,-,Nothing exists
1993-01,-,Nothing exists
1993-02,-,Nothing exists
1993-03,-,Nothing exists
1993-04,-,Nothing exists
1993-05,-,Nothing exists
1993-06,-,Nothing exists
1993-07,-,Nothing exists
1993-08,-,Nothing exists
1993-09,-,Nothing exists
1993-10,-,Nothing exists
1993-11,-,Nothing exists
1993-12,-,Nothing exists
1994-01,-,Nothing exists
1994-02,-,Nothing exists
1994-03,-,Nothing exists
1994-04,-,Nothing exists
1994-05,-,Nothing exists
1994-06,-,Nothing exists
1994-07,-,Nothing exists
1994-08,-,Nothing exists
1994-09,134,
1994-10,410,
1994-11,811,
1994-12,3436,
1995-01,2340,
1995-02,2230,
1995-03,2337,
1995-04,2748,
1995-05,2811,
1995-06,2484,
1995-07,2404,
1995-08,2344,
1995-09,2410,
1995-10,2422,
1995-11,2688,
1995-12,2904,
1996-01,2925,
1996-02,2840,
1996-03,2123,
1996-04,1894,
1996-05,1765,
1996-06,1720,
1996-07,1521,
1996-08,1368,
1996-09,1233,
1996-10,1550,
1996-11,1535,
1996-12,1474,
1997-01,1492,
1997-02,1944,
1997-03,1824,
1997-04,1524,
1997-05,1399,
1997-06,1371,
1997-07,1567,
1997-08,1851,
1997-09,1829,
1997-10,1728,
1997-11,1338,
1997-12,1128,
1998-01,1273,
1998-02,1700,
1998-03,1814,
1998-04,1896,
1998-05,1754,
1998-06,1985,
1998-07,1858,
1998-08,2058,
1998-09,1942,
1998-10,2197,
1998-11,2013,
1998-12,1580,
1999-01,1788,
1999-02,1745,
1999-03,2366,
1999-04,3159,
1999-05,3189,
1999-06,3805,
1999-07,3522,
1999-08,3604,
1999-09,3653,
1999-10,3581,
1999-11,3052,
1999-12,2746,
2000-01,2747,
2000-02,3087,
2000-03,3130,
2000-04,2707,
2000-05,2592,
2000-06,2227,
2000-07,1930,
2000-08,1863,
2000-09,2032,
2000-10,2098,
2000-11,2030,
2000-12,1803,
2001-01,2673,
2001-02,3021,
2001-03,3568,
2001-04,3617,
2001-05,3401,
2001-06,3263,
2001-07,3049,
2001-08,3809,
2001-09,4129,
2001-10,4097,
2001-11,3812,
2001-12,2953,
2002-01,4305,
2002-02,3484,
2002-03,4070,
2002-04,3626,
2002-05,3398,
2002-06,2675,
2002-07,3261,
2002-08,3223,
2002-09,3089,
2002-10,3328,
2002-11,2989,
2002-12,2630,
2003-01,3441,
2003-02,3425,
2003-03,3822,
2003-04,4239,
2003-05,4826,
2003-06,4484,
2003-07,4532,
2003-08,4488,
2003-09,4244,
2003-10,4481,
2003-11,4287,
2003-12,3901,
2004-01,4591,
2004-02,4329,
2004-03,4639,
2004-04,4269,
2004-05,4301,
2004-06,4259,
2004-07,4464,
2004-08,4648,
2004-09,4879,
2004-10,4411,
2004-11,4012,
2004-12,3193,
2005-01,3787,
2005-02,3158,
2005-03,3322,
2005-04,2956,
2005-05,3008,
2005-06,2984,
2005-07,3158,
2005-08,3311,
2005-09,3471,
2005-10,3407,
2005-11,3210,
2005-12,3527,
2006-01,3509,
2006-02,3534,
2006-03,3876,
2006-04,3776,
2006-05,4070,
2006-06,4379,
2006-07,3929,
2006-08,3785,
2006-09,3767,
2006-10,3916,
2006-11,3912,
2006-12,3899,
2007-01,4227,
2007-02,4348,
2007-03,4826,
2007-04,4597,
2007-05,4958,
2007-06,5502,
2007-07,5879,
2007-08,5102,
2007-09,5230,
2007-10,5565,
2007-11,5851,
2007-12,5501,
2008-01,6418,
2008-02,6033,
2008-03,5821,
2008-04,5602,
2008-05,5318,
2008-06,5264,
2008-07,5021,
2008-08,4472,
2008-09,4110,
2008-10,1924,
2008-11,1689,
2008-12,1457,
2009-01,1579,
2009-02,1415,
2009-03,1242,
2009-04,1584,
2009-05,1372,
2009-06,1285,
2009-07,1174,
2009-08,1117,
2009-09,1338,
2009-10,1322,
2009-11,1240,
2009-12,891,
2010-01,961,
2010-02,902,
2010-03,714,
2010-04,718,
2010-05,789,
2010-06,698,
2010-07,697,
2010-08,665,
2010-09,677,
2010-10,735,
2010-11,778,
2010-12,596,
2011-01,622,
2011-02,603,
2011-03,771,
2011-04,806,
2011-05,715,
2011-06,706,
2011-07,606,
2011-08,707,
2011-09,719,
2011-10,723,
2011-11,546,
2011-12,543,
2012-01,569,
2012-02,587,
2012-03,444,
2012-04,367,
2012-05,297,
2012-06,385,
2012-07,372,
2012-08,334,
2012-09,332,
2012-10,320,
2012-11,269,
2012-12,289,
2013-01,275,
2013-02,202,
2013-03,204,
2013-04,214,
2013-05,218,
2013-06,218,
2013-07,202,
2013-08,195,
2013-09,196,
2013-10,217,
2013-11,207,
2013-12,213,
2014-01,236,
2014-02,234,
2014-03,262,
2014-04,230,
2014-05,242,
2014-06,222,
2014-07,244,
2014-08,212,
2014-09,182,
2014-10,175,
2014-11,226,
