"",BBAI3.Q.DE.N.V.LE.F4.RV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F4.RV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Reinsurance companies / Loans / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:39,
2005-10,44205,
2006-01,44078,
2006-04,44126,
2006-07,44201,
2006-10,43794,
2007-01,42852,
2007-04,41621,
2007-07,41423,
2007-10,40261,
2008-01,39248,
2008-04,37148,
2008-07,35606,
2008-10,33610,
2009-01,33211,
2009-04,32180,
2009-07,31955,
2009-10,32102,
2010-01,32802,
2010-04,32234,
2010-07,33128,
2010-10,33968,
2011-01,34880,
2011-04,34475,
2011-07,34974,
2011-10,36274,
2012-01,36121,
2012-04,38136,
2012-07,39198,
2012-10,38485,
2013-01,39073,
2013-04,42780,
2013-07,44504,
2013-10,44580,
2014-01,45287,
2014-04,45695,
2014-07,45256,
