"",BBAI3.Q.DE.N.V.LE.F62.RV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F62.RV.A1.S.1.N.E.Z_FLAGS
"",Assets / Reinsurance companies / Prepayments of insurance premiums and res. for outstanding claims / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:02,
2005-10,25039,
2006-01,24043,
2006-04,23087,
2006-07,22169,
2006-10,21287,
2007-01,20888,
2007-04,20496,
2007-07,20112,
2007-10,19735,
2008-01,19026,
2008-04,18342,
2008-07,17683,
2008-10,17048,
2009-01,15882,
2009-04,14797,
2009-07,13785,
2009-10,12843,
2010-01,13264,
2010-04,13699,
2010-07,14149,
2010-10,14613,
2011-01,14914,
2011-04,15261,
2011-07,15653,
2011-10,16088,
2012-01,16103,
2012-04,16122,
2012-07,16145,
2012-10,16170,
2013-01,16238,
2013-04,16308,
2013-07,16380,
2013-10,16455,
2014-01,16586,
2014-04,16724,
2014-07,16687,
