"",BBK01.CEFFKN,BBK01.CEFFKN_FLAGS
"",long-term loans debtor: Insurance corporations               creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:37,
1999-01,0.9,
1999-04,0.9,
1999-07,0.9,
1999-10,0.9,
2000-01,0.2,
2000-04,0.5,
2000-07,0.5,
2000-10,0.5,
2001-01,0.5,
2001-04,0.5,
2001-07,0.4,
2001-10,0.6,
2002-01,0.6,
2002-04,0.6,
2002-07,0.7,
2002-10,1.1,
2003-01,1.2,
2003-04,4.5,
2003-07,4.3,
2003-10,4.1,
2004-01,4.1,
2004-04,4.1,
2004-07,4.1,
2004-10,3.6,
2005-01,3.8,
2005-04,3.8,
2005-07,4.3,
2005-10,5.1,
2006-01,5.8,
2006-04,6.0,
2006-07,6.9,
2006-10,7.8,
2007-01,6.2,
2007-04,5.7,
2007-07,5.7,
2007-10,1.9,
2008-01,2.0,
2008-04,2.0,
2008-07,2.1,
2008-10,1.8,
2009-01,2.0,
2009-04,2.0,
2009-07,2.0,
2009-10,2.4,
2010-01,2.3,
2010-04,2.4,
2010-07,3.0,
2010-10,3.4,
2011-01,2.6,
2011-04,2.6,
2011-07,2.6,
2011-10,2.5,
2012-01,2.5,
2012-04,2.6,
2012-07,2.6,
2012-10,3.1,
2013-01,3.9,
2013-04,3.6,
2013-07,3.6,
2013-10,3.5,
2014-01,3.0,
2014-04,3.1,
2014-07,3.1,
