"",BBAI3.Q.DE.N.V.LE.F29AAB.SV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AAB.SV.A1.S.1.N.E.Z_FLAGS
"",Assets / Property and casualty insurance companies / Deposits over 1 year and up to 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:41,
2005-10,103,
2006-01,132,
2006-04,131,
2006-07,145,
2006-10,159,
2007-01,193,
2007-04,202,
2007-07,186,
2007-10,200,
2008-01,207,
2008-04,288,
2008-07,317,
2008-10,256,
2009-01,273,
2009-04,244,
2009-07,207,
2009-10,203,
2010-01,209,
2010-04,145,
2010-07,112,
2010-10,116,
2011-01,139,
2011-04,120,
2011-07,124,
2011-10,112,
2012-01,99,
2012-04,107,
2012-07,110,
2012-10,96,
2013-01,98,
2013-04,116,
2013-07,102,
2013-10,102,
2014-01,86,
2014-04,85,
2014-07,107,
