"",BBK01.WZ3454,BBK01.WZ3454_FLAGS
"","Yields, derived from the term structure of interest rates, on listed Federal securities with annual coupon payments / residual maturity of 5 years / moving averages",
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:11:04,
1983-01,8.25,
1983-02,8.29,
1983-03,8.32,
1983-04,8.36,
1983-05,8.40,
1983-06,8.44,
1983-07,8.48,
1983-08,8.52,
1983-09,8.55,
1983-10,8.59,
1983-11,8.62,
1983-12,8.65,
1984-01,8.68,
1984-02,8.69,
1984-03,8.71,
1984-04,8.72,
1984-05,8.72,
1984-06,8.73,
1984-07,8.73,
1984-08,8.73,
1984-09,8.73,
1984-10,8.72,
1984-11,8.70,
1984-12,8.68,
1985-01,8.66,
1985-02,8.64,
1985-03,8.60,
1985-04,8.56,
1985-05,8.54,
1985-06,8.52,
1985-07,8.50,
1985-08,8.47,
1985-09,8.43,
1985-10,8.40,
1985-11,8.36,
1985-12,8.31,
1986-01,8.26,
1986-02,8.18,
1986-03,8.10,
1986-04,8.02,
1986-05,7.92,
1986-06,7.84,
1986-07,7.74,
1986-08,7.64,
1986-09,7.55,
1986-10,7.47,
1986-11,7.41,
1986-12,7.34,
1987-01,7.27,
1987-02,7.19,
1987-03,7.13,
1987-04,7.07,
1987-05,7.01,
1987-06,6.94,
1987-07,6.88,
1987-08,6.83,
1987-09,6.79,
1987-10,6.75,
1987-11,6.71,
1987-12,6.67,
1988-01,6.64,
1988-02,6.60,
1988-03,6.57,
1988-04,6.54,
1988-05,6.50,
1988-06,6.47,
1988-07,6.44,
1988-08,6.41,
1988-09,6.37,
1988-10,6.33,
1988-11,6.30,
1988-12,6.27,
1989-01,6.24,
1989-02,6.23,
1989-03,6.22,
1989-04,6.20,
1989-05,6.19,
1989-06,6.17,
1989-07,6.15,
1989-08,6.14,
1989-09,6.14,
1989-10,6.14,
1989-11,6.15,
1989-12,6.17,
1990-01,6.19,
1990-02,6.21,
1990-03,6.24,
1990-04,6.27,
1990-05,6.30,
1990-06,6.34,
1990-07,6.38,
1990-08,6.43,
1990-09,6.48,
1990-10,6.52,
1990-11,6.56,
1990-12,6.61,
1991-01,6.66,
1991-02,6.71,
1991-03,6.76,
1991-04,6.81,
1991-05,6.86,
1991-06,6.91,
1991-07,6.96,
1991-08,7.02,
1991-09,7.07,
1991-10,7.12,
1991-11,7.17,
1991-12,7.21,
1992-01,7.26,
1992-02,7.30,
1992-03,7.35,
1992-04,7.41,
1992-05,7.46,
1992-06,7.51,
1992-07,7.56,
1992-08,7.60,
1992-09,7.63,
1992-10,7.66,
1992-11,7.69,
1992-12,7.71,
1993-01,7.73,
1993-02,7.75,
1993-03,7.76,
1993-04,7.78,
1993-05,7.79,
1993-06,7.80,
1993-07,7.80,
1993-08,7.79,
1993-09,7.78,
1993-10,7.78,
1993-11,7.77,
1993-12,7.75,
1994-01,7.73,
1994-02,7.71,
1994-03,7.69,
1994-04,7.68,
1994-05,7.67,
1994-06,7.66,
1994-07,7.66,
1994-08,7.66,
1994-09,7.66,
1994-10,7.65,
1994-11,7.64,
1994-12,7.64,
1995-01,7.62,
1995-02,7.59,
1995-03,7.55,
1995-04,7.51,
1995-05,7.46,
1995-06,7.42,
1995-07,7.38,
1995-08,7.32,
1995-09,7.27,
1995-10,7.21,
1995-11,7.15,
1995-12,7.08,
1996-01,7.02,
1996-02,6.96,
1996-03,6.91,
1996-04,6.85,
1996-05,6.80,
1996-06,6.75,
1996-07,6.69,
1996-08,6.64,
1996-09,6.58,
1996-10,6.52,
1996-11,6.45,
1996-12,6.39,
1997-01,6.33,
1997-02,6.27,
1997-03,6.22,
1997-04,6.16,
1997-05,6.10,
1997-06,6.04,
1997-07,5.98,
1997-08,5.92,
1997-09,5.87,
1997-10,5.83,
1997-11,5.80,
1997-12,5.76,
1998-01,5.72,
1998-02,5.69,
1998-03,5.67,
1998-04,5.64,
1998-05,5.61,
1998-06,5.57,
1998-07,5.54,
1998-08,5.51,
1998-09,5.48,
1998-10,5.45,
1998-11,5.42,
1998-12,5.39,
1999-01,5.36,
1999-02,5.32,
1999-03,5.28,
1999-04,5.23,
1999-05,5.18,
1999-06,5.14,
1999-07,5.10,
1999-08,5.06,
1999-09,5.02,
1999-10,4.98,
1999-11,4.94,
1999-12,4.90,
2000-01,4.87,
2000-02,4.83,
2000-03,4.81,
2000-04,4.79,
2000-05,4.77,
2000-06,4.75,
2000-07,4.74,
2000-08,4.73,
2000-09,4.72,
2000-10,4.71,
2000-11,4.70,
2000-12,4.69,
2001-01,4.69,
2001-02,4.67,
2001-03,4.65,
2001-04,4.64,
2001-05,4.63,
2001-06,4.62,
2001-07,4.60,
2001-08,4.58,
2001-09,4.56,
2001-10,4.54,
2001-11,4.53,
2001-12,4.53,
2002-01,4.52,
2002-02,4.52,
2002-03,4.52,
2002-04,4.52,
2002-05,4.52,
2002-06,4.52,
2002-07,4.51,
2002-08,4.50,
2002-09,4.48,
2002-10,4.46,
2002-11,4.44,
2002-12,4.42,
2003-01,4.40,
2003-02,4.37,
2003-03,4.35,
2003-04,4.33,
2003-05,4.30,
2003-06,4.28,
2003-07,4.26,
2003-08,4.25,
2003-09,4.24,
2003-10,4.24,
2003-11,4.25,
2003-12,4.25,
2004-01,4.25,
2004-02,4.25,
2004-03,4.24,
2004-04,4.24,
2004-05,4.25,
2004-06,4.24,
2004-07,4.23,
2004-08,4.21,
2004-09,4.19,
2004-10,4.16,
2004-11,4.13,
2004-12,4.10,
2005-01,4.07,
2005-02,4.03,
2005-03,4.00,
2005-04,3.96,
2005-05,3.92,
2005-06,3.88,
2005-07,3.84,
2005-08,3.79,
2005-09,3.75,
2005-10,3.72,
2005-11,3.69,
2005-12,3.66,
2006-01,3.64,
2006-02,3.62,
2006-03,3.61,
2006-04,3.59,
2006-05,3.57,
2006-06,3.56,
2006-07,3.55,
2006-08,3.53,
2006-09,3.52,
2006-10,3.52,
2006-11,3.52,
2006-12,3.51,
2007-01,3.50,
2007-02,3.49,
2007-03,3.47,
2007-04,3.46,
2007-05,3.45,
2007-06,3.45,
2007-07,3.45,
2007-08,3.45,
2007-09,3.46,
2007-10,3.47,
2007-11,3.47,
2007-12,3.48,
2008-01,3.48,
2008-02,3.49,
2008-03,3.49,
2008-04,3.50,
2008-05,3.53,
2008-06,3.55,
2008-07,3.57,
2008-08,3.58,
2008-09,3.59,
2008-10,3.58,
2008-11,3.56,
2008-12,3.54,
2009-01,3.53,
2009-02,3.51,
2009-03,3.50,
2009-04,3.48,
2009-05,3.46,
2009-06,3.45,
2009-07,3.43,
2009-08,3.42,
2009-09,3.40,
2009-10,3.39,
2009-11,3.38,
2009-12,3.37,
2010-01,3.35,
2010-02,3.34,
2010-03,3.32,
2010-04,3.31,
2010-05,3.29,
2010-06,3.27,
2010-07,3.26,
2010-08,3.23,
2010-09,3.21,
2010-10,3.19,
2010-11,3.17,
2010-12,3.15,
2011-01,3.14,
2011-02,3.12,
2011-03,3.11,
2011-04,3.09,
2011-05,3.07,
2011-06,3.04,
2011-07,3.01,
2011-08,2.97,
2011-09,2.93,
2011-10,2.89,
2011-11,2.85,
2011-12,2.80,
2012-01,2.74,
2012-02,2.69,
2012-03,2.64,
2012-04,2.58,
2012-05,2.52,
2012-06,2.45,
2012-07,2.39,
2012-08,2.33,
2012-09,2.26,
2012-10,2.20,
2012-11,2.15,
2012-12,2.08,
2013-01,2.04,
2013-02,1.99,
2013-03,1.93,
2013-04,1.87,
2013-05,1.81,
2013-06,1.74,
2013-07,1.68,
2013-08,1.63,
2013-09,1.58,
2013-10,1.54,
2013-11,1.50,
2013-12,1.48,
2014-01,1.44,
2014-02,1.42,
2014-03,1.39,
2014-04,1.36,
2014-05,1.32,
2014-06,1.28,
2014-07,1.25,
2014-08,1.21,
2014-09,1.17,
2014-10,1.13,
2014-11,1.09,
2014-12,1.05,
2015-01,1.01,
"","General: Moving averages from end-of-month levels; calculated from end-of-month levels of 12 months in the case of a residual maturity of one year; end-of-month levels of 24 months in the case of a residual maturity of two years, ... , end-of-months levels of 120 months in the case of a residual maturity of ten years; this includes the end-of-month-level of the reporting month and the end-of-month-levels of the preceding months.",
