"",BBAI3.Q.DE.N.V.LE.F29AAB.RV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AAB.RV.A1.S.1.N.E.Z_FLAGS
"",Assets / Reinsurance companies / Deposits over 1 year and up to 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:57,
2005-10,20,
2006-01,25,
2006-04,29,
2006-07,31,
2006-10,35,
2007-01,39,
2007-04,42,
2007-07,38,
2007-10,40,
2008-01,41,
2008-04,65,
2008-07,75,
2008-10,63,
2009-01,56,
2009-04,48,
2009-07,51,
2009-10,61,
2010-01,50,
2010-04,34,
2010-07,27,
2010-10,27,
2011-01,32,
2011-04,31,
2011-07,37,
2011-10,38,
2012-01,31,
2012-04,34,
2012-07,36,
2012-10,34,
2013-01,32,
2013-04,40,
2013-07,37,
2013-10,38,
2014-01,29,
2014-04,29,
2014-07,36,
