"",BBK01.CEH40B,BBK01.CEH40B_FLAGS
"",Loans debtor: All sectors                     creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:19:02,
1991-01,2.8,
1991-04,0.3,
1991-07,3.7,
1991-10,-1.0,
1992-01,2.8,
1992-04,1.6,
1992-07,2.8,
1992-10,-2.1,
1993-01,2.8,
1993-04,2.7,
1993-07,3.7,
1993-10,-1.0,
1994-01,3.0,
1994-04,3.0,
1994-07,1.8,
1994-10,1.7,
1995-01,-3.4,
1995-04,3.4,
1995-07,3.2,
1995-10,2.8,
1996-01,5.3,
1996-04,1.8,
1996-07,2.7,
1996-10,-2.3,
1997-01,3.3,
1997-04,3.0,
1997-07,2.3,
1997-10,-2.2,
1998-01,2.4,
1998-04,0.6,
1998-07,2.4,
1998-10,1.3,
1999-01,2.1,
1999-04,3.0,
1999-07,2.3,
1999-10,5.5,
2000-01,5.5,
2000-04,3.3,
2000-07,3.1,
2000-10,-3.1,
2001-01,3.3,
2001-04,3.6,
2001-07,4.1,
2001-10,10.4,
2002-01,5.0,
2002-04,3.6,
2002-07,3.3,
2002-10,15.7,
2003-01,4.9,
2003-04,3.8,
2003-07,4.0,
2003-10,16.8,
2004-01,6.4,
2004-04,2.0,
2004-07,1.3,
2004-10,9.3,
2005-01,0.3,
2005-04,-0.9,
2005-07,-0.6,
2005-10,-8.2,
2006-01,1.4,
2006-04,1.1,
2006-07,2.1,
2006-10,-3.3,
2007-01,-2.9,
2007-04,0.4,
2007-07,1.9,
2007-10,-1.0,
2008-01,-2.6,
2008-04,1.1,
2008-07,-0.1,
2008-10,-2.9,
2009-01,8.2,
2009-04,4.6,
2009-07,1.7,
2009-10,1.9,
2010-01,7.1,
2010-04,2.2,
2010-07,1.8,
2010-10,-1.0,
2011-01,2.4,
2011-04,1.1,
2011-07,1.3,
2011-10,0.9,
2012-01,3.5,
2012-04,0.7,
2012-07,1.8,
2012-10,-0.3,
2013-01,2.1,
2013-04,-0.6,
2013-07,0.6,
2013-10,1.2,
2014-01,4.1,
