"",BBFN1.M.DE.N.1.A.CN.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CN.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1985-09,0.003,
1985-10,0.003,
1985-11,0.003,
1985-12,0.004,
1986-01,0.003,
1986-02,0.003,
1986-03,0.003,
1986-04,0.004,
1986-05,0.004,
1986-06,0.004,
1986-07,0.004,
1986-08,0.004,
1986-09,0.003,
1986-10,0.003,
1986-11,0.004,
1986-12,0.004,
1987-01,0.003,
1987-02,0.004,
1987-03,0.004,
1987-04,0.004,
1987-05,0.004,
1987-06,0.003,
1987-07,0.003,
1987-08,0.003,
1987-09,0.004,
1987-10,0.003,
1987-11,0.006,
1987-12,0.006,
1988-01,0.007,
1988-02,0.005,
1988-03,0.005,
1988-04,0.007,
1988-05,0.004,
1988-06,0.005,
1988-07,0.005,
1988-08,0.008,
1988-09,0.006,
1988-10,0.010,
1988-11,0.011,
1988-12,0.012,
1989-01,0.027,
1989-02,0.005,
1989-03,0.006,
1989-04,0.006,
1989-05,0.006,
1989-06,0.007,
1989-07,0.008,
1989-08,0.009,
1989-09,0.009,
1989-10,0.009,
1989-11,0.010,
1989-12,0.010,
1990-01,0.011,
1990-02,0.011,
1990-03,0.011,
1990-04,0.012,
1990-05,0.012,
1990-06,0.013,
1990-07,0.014,
1990-08,0.015,
1990-09,0.014,
1990-10,0.015,
1990-11,0.015,
1990-12,0.008,
1991-01,0.015,
1991-02,0.020,
1991-03,0.025,
1991-04,0.025,
1991-05,0.026,
1991-06,0.027,
1991-07,0.027,
1991-08,0.028,
1991-09,0.034,
1991-10,0.029,
1991-11,0.030,
1991-12,0.007,
1992-01,0.006,
1992-02,0.021,
1992-03,0.021,
1992-04,0.022,
1992-05,0.020,
1992-06,0.014,
1992-07,0.013,
1992-08,0.012,
1992-09,0.011,
1992-10,0.011,
1992-11,0.011,
1992-12,0.010,
1993-01,0.009,
1993-02,0.008,
1993-03,0.009,
1993-04,0.009,
1993-05,0.010,
1993-06,0.010,
1993-07,0.009,
1993-08,0.009,
1993-09,0.010,
1993-10,0.008,
1993-11,0.011,
1993-12,0.013,
1994-01,0.010,
1994-02,0.011,
1994-03,0.014,
1994-04,0.012,
1994-05,0.029,
1994-06,0.023,
1994-07,0.031,
1994-08,0.030,
1994-09,0.055,
1994-10,0.040,
1994-11,0.071,
1994-12,0.054,
1995-01,0.058,
1995-02,0.064,
1995-03,0.054,
1995-04,0.053,
1995-05,0.061,
1995-06,0.062,
1995-07,0.063,
1995-08,0.071,
1995-09,0.072,
1995-10,0.077,
1995-11,0.071,
1995-12,0.073,
1996-01,0.078,
1996-02,0.084,
1996-03,0.092,
1996-04,0.094,
1996-05,0.102,
1996-06,0.112,
1996-07,0.116,
1996-08,0.129,
1996-09,0.128,
1996-10,0.144,
1996-11,0.161,
1996-12,0.177,
1997-01,0.191,
1997-02,0.193,
1997-03,0.191,
1997-04,0.183,
1997-05,0.184,
1997-06,0.200,
1997-07,0.203,
1997-08,0.240,
1997-09,0.199,
1997-10,0.204,
1997-11,0.202,
1997-12,0.203,
1998-01,0.140,
1998-02,0.203,
1998-03,0.132,
1998-04,0.153,
1998-05,0.150,
1998-06,0.166,
1998-07,0.161,
1998-08,0.173,
1998-09,0.160,
1998-10,0.172,
1998-11,0.166,
1998-12,0.139,
1999-01,0.148,
1999-02,0.151,
1999-03,0.154,
1999-04,0.171,
1999-05,0.184,
1999-06,0.197,
1999-07,0.199,
1999-08,0.195,
1999-09,0.197,
1999-10,0.201,
1999-11,0.188,
1999-12,0.191,
2000-01,0.200,
2000-02,0.175,
2000-03,0.183,
2000-04,0.138,
2000-05,0.163,
2000-06,0.189,
2000-07,0.197,
2000-08,0.167,
2000-09,0.162,
2000-10,0.155,
2000-11,0.161,
2000-12,0.158,
2001-01,0.180,
2001-02,0.180,
2001-03,0.205,
2001-04,0.219,
2001-05,0.275,
2001-06,0.202,
2001-07,0.205,
2001-08,0.222,
2001-09,0.193,
2001-10,0.182,
2001-11,0.162,
2001-12,0.425,
2002-01,0.444,
2002-02,0.400,
2002-03,0.390,
2002-04,0.436,
2002-05,0.411,
2002-06,0.423,
2002-07,0.406,
2002-08,0.381,
2002-09,0.389,
2002-10,0.239,
2002-11,0.209,
2002-12,0.354,
2003-01,0.366,
2003-02,0.338,
2003-03,0.370,
2003-04,0.427,
2003-05,0.452,
2003-06,0.465,
2003-07,0.456,
2003-08,0.456,
2003-09,0.426,
2003-10,0.366,
2003-11,0.631,
2003-12,0.705,
2004-01,0.657,
2004-02,0.640,
2004-03,0.672,
2004-04,0.686,
2004-05,0.945,
2004-06,0.915,
2004-07,0.913,
2004-08,0.934,
2004-09,0.692,
2004-10,0.773,
2004-11,0.768,
2004-12,0.748,
2005-01,0.892,
2005-02,0.921,
2005-03,0.916,
2005-04,0.931,
2005-05,0.993,
2005-06,1.152,
2005-07,1.187,
2005-08,1.221,
2005-09,1.244,
2005-10,1.351,
2005-11,1.359,
2005-12,1.307,
2006-01,1.388,
2006-02,1.487,
2006-03,1.392,
2006-04,1.420,
2006-05,1.403,
2006-06,1.395,
2006-07,1.412,
2006-08,1.288,
2006-09,1.431,
2006-10,1.417,
2006-11,1.392,
2006-12,1.364,
2007-01,1.362,
2007-02,1.406,
2007-03,1.365,
2007-04,1.460,
2007-05,1.347,
2007-06,1.253,
2007-07,1.271,
2007-08,1.303,
2007-09,1.332,
2007-10,1.283,
2007-11,1.245,
2007-12,1.284,
2008-01,1.342,
2008-02,1.394,
2008-03,1.393,
2008-04,1.483,
2008-05,1.524,
2008-06,1.390,
2008-07,1.518,
2008-08,1.483,
2008-09,1.528,
2008-10,1.574,
2008-11,1.527,
2008-12,1.400,
2009-01,1.416,
2009-02,1.392,
2009-03,1.319,
2009-04,1.366,
2009-05,1.478,
2009-06,1.441,
2009-07,1.558,
2009-08,1.636,
2009-09,1.502,
2009-10,1.556,
2009-11,1.499,
2009-12,1.499,
2010-01,1.414,
2010-02,1.500,
2010-03,1.457,
2010-04,1.675,
2010-05,1.793,
2010-06,1.997,
2010-07,2.067,
2010-08,1.933,
2010-09,1.754,
2010-10,1.604,
2010-11,1.685,
2010-12,1.622,
2011-01,1.628,
2011-02,1.635,
2011-03,1.665,
2011-04,1.952,
2011-05,2.230,
2011-06,2.224,
2011-07,2.234,
2011-08,2.190,
2011-09,2.056,
2011-10,1.840,
2011-11,1.978,
2011-12,2.408,
2012-01,2.238,
2012-02,1.914,
2012-03,2.326,
2012-04,3.143,
2012-05,2.424,
2012-06,2.114,
2012-07,2.044,
2012-08,1.978,
2012-09,1.912,
2012-10,1.958,
2012-11,1.950,
2012-12,1.993,
2013-01,1.774,
2013-02,1.905,
2013-03,1.918,
2013-04,2.591,
2013-05,2.492,
2013-06,2.109,
2013-07,1.836,
2013-08,1.983,
2013-09,1.644,
2013-10,1.623,
2013-11,1.609,
2013-12,1.636,
2014-01,1.825,
2014-02,1.852,
2014-03,2.040,
2014-04,3.661,
2014-05,2.298,
2014-06,2.474,
2014-07,2.420,
2014-08,2.506,
2014-09,2.322,
2014-10,2.232,
2014-11,2.526,
2014-12,3.000,
"",General: Excluding Hong Kong.,
