"",BBK01.CEBA0I,BBK01.CEBA0I_FLAGS
"",Money market paper debtor: All sectors                    creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:07,
1991-01,6.1,
1991-04,6.5,
1991-07,6.0,
1991-10,5.8,
1992-01,6.9,
1992-04,7.0,
1992-07,7.1,
1992-10,7.4,
1993-01,7.3,
1993-04,7.0,
1993-07,7.1,
1993-10,6.9,
1994-01,6.1,
1994-04,5.7,
1994-07,5.2,
1994-10,4.4,
1995-01,3.3,
1995-04,2.8,
1995-07,2.5,
1995-10,2.5,
1996-01,2.7,
1996-04,2.6,
1996-07,2.6,
1996-10,2.3,
1997-01,1.9,
1997-04,1.9,
1997-07,1.8,
1997-10,1.8,
1998-01,1.8,
1998-04,1.7,
1998-07,1.6,
1998-10,1.6,
1999-01,1.4,
1999-04,1.3,
1999-07,1.2,
1999-10,1.2,
2000-01,1.2,
2000-04,1.3,
2000-07,1.3,
2000-10,1.3,
2001-01,1.4,
2001-04,1.4,
2001-07,1.3,
2001-10,1.3,
2002-01,1.3,
2002-04,1.3,
2002-07,1.3,
2002-10,1.2,
2003-01,1.1,
2003-04,1.0,
2003-07,1.0,
2003-10,1.0,
2004-01,1.0,
2004-04,1.0,
2004-07,1.0,
2004-10,0.9,
2005-01,1.0,
2005-04,1.0,
2005-07,0.9,
2005-10,1.0,
2006-01,3.3,
2006-04,4.9,
2006-07,5.2,
2006-10,7.4,
2007-01,7.2,
2007-04,6.9,
2007-07,6.0,
2007-10,4.4,
2008-01,8.0,
2008-04,5.0,
2008-07,5.3,
2008-10,6.0,
2009-01,4.0,
2009-04,4.0,
2009-07,4.0,
2009-10,4.0,
2010-01,3.4,
2010-04,3.0,
2010-07,3.7,
2010-10,3.6,
2011-01,4.5,
2011-04,4.6,
2011-07,3.3,
2011-10,3.6,
2012-01,3.9,
2012-04,4.2,
2012-07,4.7,
2012-10,4.4,
2013-01,4.8,
2013-04,4.5,
2013-07,4.1,
2013-10,3.7,
2014-01,3.9,
