"",BBK01.CEL0K0,BBK01.CEL0K0_FLAGS
"",External financing total debtor: Insurance corporations and Pension funds                creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:28,
1999-01,27.1,
1999-04,11.8,
1999-07,16.7,
1999-10,23.3,
2000-01,30.1,
2000-04,17.2,
2000-07,15.9,
2000-10,1.3,
2001-01,23.3,
2001-04,13.6,
2001-07,18.3,
2001-10,47.6,
2002-01,40.3,
2002-04,13.4,
2002-07,16.8,
2002-10,15.6,
2003-01,14.8,
2003-04,11.9,
2003-07,10.5,
2003-10,31.0,
2004-01,20.2,
2004-04,3.0,
2004-07,7.5,
2004-10,6.0,
2005-01,27.2,
2005-04,7.7,
2005-07,15.3,
2005-10,26.0,
2006-01,10.4,
2006-04,15.1,
2006-07,7.5,
2006-10,5.1,
2007-01,10.5,
2007-04,11.8,
2007-07,12.8,
2007-10,9.3,
2008-01,3.0,
2008-04,-2.3,
2008-07,10.7,
2008-10,-1.9,
2009-01,17.4,
2009-04,-4.7,
2009-07,-1.9,
2009-10,-1.2,
2010-01,27.2,
2010-04,5.5,
2010-07,10.8,
2010-10,15.3,
2011-01,17.9,
2011-04,18.0,
2011-07,9.2,
2011-10,3.7,
2012-01,31.8,
2012-04,6.3,
2012-07,13.4,
2012-10,23.1,
2013-01,22.3,
2013-04,1.6,
2013-07,9.7,
2013-10,9.4,
2014-01,27.7,
2014-04,11.8,
2014-07,2.2,
