"",BBAI3.Q.DE.N.V.LE.F42A.S125.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F42A.S125.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations and pension funds (ICPFs) / Loans over 1 year and up to 5 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:53,
2005-10,3201,
2006-01,3304,
2006-04,3303,
2006-07,3731,
2006-10,3756,
2007-01,3809,
2007-04,3816,
2007-07,3863,
2007-10,3402,
2008-01,3592,
2008-04,3539,
2008-07,3159,
2008-10,3085,
2009-01,3117,
2009-04,3000,
2009-07,3005,
2009-10,3030,
2010-01,3011,
2010-04,2878,
2010-07,2874,
2010-10,3024,
2011-01,3007,
2011-04,3011,
2011-07,3098,
2011-10,3158,
2012-01,3069,
2012-04,3058,
2012-07,3075,
2012-10,3218,
2013-01,3040,
2013-04,2972,
2013-07,3281,
2013-10,3348,
2014-01,3598,
2014-04,3658,
2014-07,3576,
