"",BBK01.CEFX6N,BBK01.CEFX6N_FLAGS
"",Life insurance and annuity entitlements  debtor: Insurance corporations and Pension funds                                 creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:20,
1999-01,1.0,
1999-04,1.0,
1999-07,1.0,
1999-10,1.1,
2000-01,1.2,
2000-04,1.2,
2000-07,1.2,
2000-10,0.9,
2001-01,0.9,
2001-04,0.9,
2001-07,0.9,
2001-10,1.0,
2002-01,1.1,
2002-04,1.1,
2002-07,1.1,
2002-10,0.9,
2003-01,0.9,
2003-04,0.9,
2003-07,1.0,
2003-10,2.7,
2004-01,2.8,
2004-04,2.8,
2004-07,2.8,
2004-10,3.1,
2005-01,3.1,
2005-04,3.2,
2005-07,3.2,
2005-10,1.6,
2006-01,1.7,
2006-04,1.8,
2006-07,1.9,
2006-10,2.0,
2007-01,2.3,
2007-04,2.5,
2007-07,2.7,
2007-10,2.4,
2008-01,2.5,
2008-04,2.6,
2008-07,2.7,
2008-10,2.7,
2009-01,2.8,
2009-04,2.9,
2009-07,3.0,
2009-10,3.0,
2010-01,3.1,
2010-04,3.2,
2010-07,3.3,
2010-10,3.3,
2011-01,3.4,
2011-04,3.5,
2011-07,3.6,
2011-10,3.6,
2012-01,3.7,
2012-04,3.8,
2012-07,3.9,
2012-10,3.9,
2013-01,4.0,
2013-04,4.0,
2013-07,4.0,
2013-10,4.0,
2014-01,4.0,
2014-04,4.1,
2014-07,4.1,
