"",BBK01.CEFFJB,BBK01.CEFFJB_FLAGS
"",long-term loans                                             debtor:  Households                                  creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:22,
1999-01,69.9,
1999-04,69.9,
1999-07,70.6,
1999-10,71.4,
2000-01,71.7,
2000-04,72.0,
2000-07,73.1,
2000-10,72.3,
2001-01,73.0,
2001-04,73.8,
2001-07,73.8,
2001-10,74.7,
2002-01,75.2,
2002-04,76.3,
2002-07,76.6,
2002-10,79.7,
2003-01,80.2,
2003-04,81.0,
2003-07,81.6,
2003-10,82.7,
2004-01,83.2,
2004-04,81.7,
2004-07,81.2,
2004-10,80.8,
2005-01,78.3,
2005-04,79.7,
2005-07,77.9,
2005-10,76.2,
2006-01,77.1,
2006-04,78.2,
2006-07,79.7,
2006-10,81.3,
2007-01,81.1,
2007-04,80.1,
2007-07,81.4,
2007-10,80.0,
2008-01,78.7,
2008-04,79.2,
2008-07,79.5,
2008-10,78.7,
2009-01,78.7,
2009-04,78.9,
2009-07,79.1,
2009-10,78.0,
2010-01,77.5,
2010-04,77.5,
2010-07,77.3,
2010-10,76.8,
2011-01,76.9,
2011-04,76.3,
2011-07,76.5,
2011-10,77.1,
2012-01,77.0,
2012-04,77.1,
2012-07,76.7,
2012-10,77.5,
2013-01,77.5,
2013-04,77.8,
2013-07,77.6,
2013-10,76.8,
2014-01,76.7,
2014-04,76.4,
2014-07,75.9,
