"",BBAI3.Q.DE.N.V.LE.F7.S125.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F7.S125.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations and pension funds (ICPFs) / Other accounts receivable/payable / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:57,
2005-10,83895,
2006-01,83683,
2006-04,82817,
2006-07,82286,
2006-10,81269,
2007-01,81044,
2007-04,79839,
2007-07,78953,
2007-10,78168,
2008-01,78124,
2008-04,77290,
2008-07,76469,
2008-10,74693,
2009-01,74951,
2009-04,74360,
2009-07,73804,
2009-10,73072,
2010-01,73608,
2010-04,72981,
2010-07,72073,
2010-10,71490,
2011-01,72083,
2011-04,71895,
2011-07,71888,
2011-10,71488,
2012-01,71814,
2012-04,71534,
2012-07,71446,
2012-10,71424,
2013-01,72833,
2013-04,73107,
2013-07,73372,
2013-10,73804,
2014-01,71713,
2014-04,72306,
2014-07,72254,
