"",BBK01.CEFN0K,BBK01.CEFN0K_FLAGS
"",Transferable deposits  debtor: Total           creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:08,
1999-01,5.3,
1999-04,5.3,
1999-07,5.1,
1999-10,7.0,
2000-01,6.5,
2000-04,5.8,
2000-07,4.5,
2000-10,7.5,
2001-01,6.5,
2001-04,7.1,
2001-07,7.4,
2001-10,9.7,
2002-01,8.3,
2002-04,9.1,
2002-07,10.8,
2002-10,12.7,
2003-01,15.0,
2003-04,15.2,
2003-07,12.3,
2003-10,11.6,
2004-01,13.9,
2004-04,10.7,
2004-07,13.3,
2004-10,9.0,
2005-01,12.1,
2005-04,11.3,
2005-07,10.0,
2005-10,9.9,
2006-01,10.9,
2006-04,10.7,
2006-07,9.8,
2006-10,12.3,
2007-01,10.5,
2007-04,11.6,
2007-07,9.8,
2007-10,10.8,
2008-01,11.6,
2008-04,11.2,
2008-07,10.6,
2008-10,13.3,
2009-01,15.7,
2009-04,13.2,
2009-07,13.9,
2009-10,14.3,
2010-01,12.7,
2010-04,13.1,
2010-07,11.8,
2010-10,11.8,
2011-01,13.2,
2011-04,14.6,
2011-07,15.6,
2011-10,16.4,
2012-01,16.4,
2012-04,17.5,
2012-07,16.2,
2012-10,17.5,
2013-01,19.3,
2013-04,16.7,
2013-07,16.9,
2013-10,14.5,
2014-01,19.8,
2014-04,20.0,
2014-07,17.7,
