"",BBK01.CELIK0,BBK01.CELIK0_FLAGS
"",Listed Shares debtor: Insurance corporations                creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:21,
1999-01,1.6,
1999-04,2.3,
1999-07,-0.5,
1999-10,0.0,
2000-01,0.0,
2000-04,0.0,
2000-07,0.0,
2000-10,0.2,
2001-01,0.0,
2001-04,0.0,
2001-07,6.4,
2001-10,0.2,
2002-01,0.0,
2002-04,0.0,
2002-07,0.0,
2002-10,0.0,
2003-01,0.0,
2003-04,4.5,
2003-07,-1.0,
2003-10,4.1,
2004-01,0.0,
2004-04,0.0,
2004-07,0.0,
2004-10,0.1,
2005-01,0.0,
2005-04,0.0,
2005-07,1.1,
2005-10,0.1,
2006-01,0.0,
2006-04,0.0,
2006-07,0.0,
2006-10,0.1,
2007-01,0.0,
2007-04,0.0,
2007-07,0.0,
2007-10,0.2,
2008-01,0.0,
2008-04,0.2,
2008-07,0.1,
2008-10,0.0,
2009-01,0.0,
2009-04,0.0,
2009-07,0.1,
2009-10,0.1,
2010-01,0.0,
2010-04,0.0,
2010-07,0.0,
2010-10,0.0,
2011-01,0.0,
2011-04,0.0,
2011-07,0.0,
2011-10,0.1,
2012-01,0.0,
2012-04,0.0,
2012-07,0.0,
2012-10,0.0,
2013-01,-0.1,
2013-04,0.0,
2013-07,0.0,
2013-10,0.0,
2014-01,0.0,
2014-04,0.0,
2014-07,0.0,
