"",BBAI3.Q.DE.N.V.LE.F51.LV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F51.LV.A1.S.2.N.E.Z_FLAGS
"","Liabilities / Life insurance companies / Shares, other equity and mutual funds shares / units / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:12,
2005-10,17789,
2006-01,16896,
2006-04,15418,
2006-07,17745,
2006-10,18994,
2007-01,19556,
2007-04,21039,
2007-07,19989,
2007-10,18843,
2008-01,17020,
2008-04,16025,
2008-07,14691,
2008-10,12446,
2009-01,9996,
2009-04,10175,
2009-07,12558,
2009-10,12730,
2010-01,13894,
2010-04,12528,
2010-07,12513,
2010-10,13430,
2011-01,14300,
2011-04,13627,
2011-07,10796,
2011-10,11082,
2012-01,13377,
2012-04,12322,
2012-07,14280,
2012-10,16158,
2013-01,17164,
2013-04,17441,
2013-07,17982,
2013-10,20064,
2014-01,19192,
2014-04,18500,
2014-07,19101,
