"",BBK01.CEH70B,BBK01.CEH70B_FLAGS
"",Other claims debtor: All sectors                   creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:19:04,
1991-01,0.9,
1991-04,-0.2,
1991-07,0.7,
1991-10,1.2,
1992-01,1.9,
1992-04,0.6,
1992-07,0.5,
1992-10,-0.5,
1993-01,1.3,
1993-04,1.5,
1993-07,0.9,
1993-10,-2.7,
1994-01,0.4,
1994-04,2.3,
1994-07,1.2,
1994-10,-1.6,
1995-01,-3.7,
1995-04,1.2,
1995-07,1.9,
1995-10,0.5,
1996-01,1.6,
1996-04,0.2,
1996-07,0.4,
1996-10,-4.2,
1997-01,3.8,
1997-04,0.4,
1997-07,1.1,
1997-10,-1.8,
1998-01,1.9,
1998-04,2.5,
1998-07,1.0,
1998-10,-0.9,
1999-01,1.1,
1999-04,-0.1,
1999-07,0.1,
1999-10,4.4,
2000-01,1.7,
2000-04,-0.1,
2000-07,-0.1,
2000-10,-0.8,
2001-01,1.2,
2001-04,-0.5,
2001-07,0.9,
2001-10,0.8,
2002-01,3.4,
2002-04,-0.4,
2002-07,0.0,
2002-10,0.7,
2003-01,-0.3,
2003-04,-0.3,
2003-07,-0.9,
2003-10,6.7,
2004-01,2.1,
2004-04,0.1,
2004-07,1.0,
2004-10,-3.3,
2005-01,3.3,
2005-04,1.2,
2005-07,2.7,
2005-10,15.1,
2006-01,0.3,
2006-04,-0.3,
2006-07,-0.5,
2006-10,-6.7,
2007-01,0.8,
2007-04,-0.4,
2007-07,-0.5,
2007-10,-4.7,
2008-01,-0.1,
2008-04,1.9,
2008-07,1.3,
2008-10,-2.6,
2009-01,2.8,
2009-04,-2.6,
2009-07,0.4,
2009-10,-2.4,
2010-01,2.5,
2010-04,-0.6,
2010-07,-0.9,
2010-10,1.5,
2011-01,0.7,
2011-04,0.5,
2011-07,0.1,
2011-10,-3.0,
2012-01,1.2,
2012-04,-0.9,
2012-07,0.2,
2012-10,0.7,
2013-01,3.2,
2013-04,-1.0,
2013-07,-0.3,
2013-10,0.6,
2014-01,3.1,
