"",BBK01.CEB70B,BBK01.CEB70B_FLAGS
"",Other claims debtor: All sectors                   creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:19:21,
1991-01,22.6,
1991-04,22.4,
1991-07,23.2,
1991-10,24.1,
1992-01,26.1,
1992-04,26.9,
1992-07,27.6,
1992-10,26.6,
1993-01,28.1,
1993-04,29.7,
1993-07,30.8,
1993-10,27.6,
1994-01,28.2,
1994-04,30.7,
1994-07,32.1,
1994-10,29.9,
1995-01,24.3,
1995-04,25.7,
1995-07,27.8,
1995-10,27.6,
1996-01,31.0,
1996-04,31.5,
1996-07,32.2,
1996-10,28.4,
1997-01,32.6,
1997-04,33.4,
1997-07,35.0,
1997-10,28.7,
1998-01,31.5,
1998-04,34.1,
1998-07,35.4,
1998-10,32.7,
1999-01,33.7,
1999-04,34.2,
1999-07,34.7,
1999-10,37.6,
2000-01,39.9,
2000-04,40.4,
2000-07,40.9,
2000-10,38.3,
2001-01,40.1,
2001-04,40.3,
2001-07,41.8,
2001-10,40.7,
2002-01,44.5,
2002-04,44.6,
2002-07,45.1,
2002-10,44.5,
2003-01,44.7,
2003-04,44.8,
2003-07,44.3,
2003-10,49.8,
2004-01,50.9,
2004-04,50.0,
2004-07,50.0,
2004-10,49.6,
2005-01,52.7,
2005-04,53.7,
2005-07,56.2,
2005-10,72.6,
2006-01,73.0,
2006-04,72.6,
2006-07,72.2,
2006-10,65.5,
2007-01,66.3,
2007-04,65.9,
2007-07,65.3,
2007-10,60.6,
2008-01,60.4,
2008-04,62.3,
2008-07,63.7,
2008-10,61.1,
2009-01,63.9,
2009-04,61.3,
2009-07,61.7,
2009-10,59.3,
2010-01,61.8,
2010-04,61.2,
2010-07,60.3,
2010-10,61.7,
2011-01,62.5,
2011-04,63.0,
2011-07,63.0,
2011-10,60.0,
2012-01,61.2,
2012-04,60.3,
2012-07,60.5,
2012-10,61.1,
2013-01,64.3,
2013-04,63.3,
2013-07,63.0,
2013-10,63.6,
2014-01,66.7,
