"",BBFN1.M.DE.N.1.A.RS.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.RS.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
2004-03,0.008,
2004-04,0.009,
2004-05,0.008,
2004-06,0.009,
2004-07,0.009,
2004-08,0.007,
2004-09,0.007,
2004-10,0.011,
2004-11,0.011,
2004-12,0.008,
2005-01,0.014,
2005-02,0.020,
2005-03,0.041,
2005-04,0.042,
2005-05,0.039,
2005-06,0.038,
2005-07,0.036,
2005-08,0.033,
2005-09,0.044,
2005-10,0.042,
2005-11,0.037,
2005-12,0.048,
2006-01,0.056,
2006-02,0.055,
2006-03,0.053,
2006-04,0.055,
2006-05,0.054,
2006-06,0.055,
2006-07,0.054,
2006-08,0.077,
2006-09,0.075,
2006-10,0.096,
2006-11,0.086,
2006-12,0.089,
2007-01,0.093,
2007-02,0.091,
2007-03,0.099,
2007-04,0.102,
2007-05,0.103,
2007-06,0.100,
2007-07,0.061,
2007-08,0.057,
2007-09,0.059,
2007-10,0.055,
2007-11,0.054,
2007-12,0.054,
2008-01,0.042,
2008-02,0.044,
2008-03,0.058,
2008-04,0.066,
2008-05,0.064,
2008-06,0.051,
2008-07,0.059,
2008-08,0.062,
2008-09,0.069,
2008-10,0.072,
2008-11,0.072,
2008-12,0.137,
2009-01,0.158,
2009-02,0.172,
2009-03,0.173,
2009-04,0.184,
2009-05,0.178,
2009-06,0.183,
2009-07,0.182,
2009-08,0.144,
2009-09,0.129,
2009-10,0.142,
2009-11,0.154,
2009-12,0.153,
2010-01,0.122,
2010-02,0.151,
2010-03,0.151,
2010-04,0.131,
2010-05,0.131,
2010-06,0.121,
2010-07,0.131,
2010-08,0.144,
2010-09,0.136,
2010-10,0.141,
2010-11,0.180,
2010-12,0.186,
2011-01,0.190,
2011-02,0.202,
2011-03,0.176,
2011-04,0.165,
2011-05,0.169,
2011-06,0.167,
2011-07,0.174,
2011-08,0.190,
2011-09,0.168,
2011-10,0.168,
2011-11,0.180,
2011-12,0.178,
2012-01,0.172,
2012-02,0.179,
2012-03,0.181,
2012-04,0.187,
2012-05,0.178,
2012-06,0.187,
2012-07,0.184,
2012-08,0.192,
2012-09,0.185,
2012-10,0.183,
2012-11,0.183,
2012-12,0.198,
2013-01,0.198,
2013-02,0.189,
2013-03,0.192,
2013-04,0.186,
2013-05,0.203,
2013-06,0.180,
2013-07,0.180,
2013-08,0.191,
2013-09,0.191,
2013-10,0.189,
2013-11,0.184,
2013-12,0.183,
2014-01,0.154,
2014-02,0.151,
2014-03,0.153,
2014-04,0.155,
2014-05,0.158,
2014-06,0.159,
2014-07,0.162,
2014-08,0.163,
2014-09,0.146,
2014-10,0.161,
2014-11,0.160,
2014-12,0.154,
