"",BBAI3.Q.DE.N.V.LE.F.LV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F.LV.A1.S.1.N.E.Z_FLAGS
"",Assets / Life insurance companies / Total financial assets / liabilities / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:23,
2005-10,733000,
2006-01,741073,
2006-04,741153,
2006-07,754511,
2006-10,759479,
2007-01,768514,
2007-04,774696,
2007-07,779455,
2007-10,788920,
2008-01,769528,
2008-04,765393,
2008-07,759543,
2008-10,749248,
2009-01,753006,
2009-04,768949,
2009-07,789756,
2009-10,792805,
2010-01,815398,
2010-04,825162,
2010-07,835664,
2010-10,828825,
2011-01,832725,
2011-04,837630,
2011-07,839503,
2011-10,832820,
2012-01,854238,
2012-04,862785,
2012-07,885897,
2012-10,899442,
2013-01,912731,
2013-04,912409,
2013-07,919984,
2013-10,926571,
2014-01,951044,
2014-04,973787,
2014-07,993378,
