"",BBK01.CEHR02,BBK01.CEHR02_FLAGS
"",longer-term time deposits debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:05,
1991-01,16.2,
1991-04,6.6,
1991-07,11.1,
1991-10,11.8,
1992-01,9.7,
1992-04,10.2,
1992-07,9.3,
1992-10,12.7,
1993-01,13.9,
1993-04,11.6,
1993-07,20.1,
1993-10,20.6,
1994-01,21.7,
1994-04,20.6,
1994-07,19.9,
1994-10,15.0,
1995-01,11.7,
1995-04,20.0,
1995-07,21.7,
1995-10,20.5,
1996-01,24.4,
1996-04,14.3,
1996-07,16.6,
1996-10,21.1,
1997-01,22.3,
1997-04,13.4,
1997-07,22.4,
1997-10,26.3,
1998-01,25.0,
1998-04,21.6,
1998-07,29.8,
1998-10,16.7,
1999-01,27.1,
1999-04,33.6,
1999-07,42.3,
1999-10,29.9,
2000-01,29.9,
2000-04,13.8,
2000-07,17.9,
2000-10,3.1,
2001-01,13.5,
2001-04,12.2,
2001-07,10.7,
2001-10,7.8,
2002-01,12.7,
2002-04,2.5,
2002-07,0.6,
2002-10,8.9,
2003-01,6.1,
2003-04,7.5,
2003-07,2.3,
2003-10,9.4,
2004-01,-0.6,
2004-04,9.1,
2004-07,6.3,
2004-10,6.8,
2005-01,19.7,
2005-04,28.6,
2005-07,14.9,
2005-10,9.2,
2006-01,14.1,
2006-04,26.2,
2006-07,18.4,
2006-10,29.1,
2007-01,17.9,
2007-04,32.1,
2007-07,35.1,
2007-10,38.9,
2008-01,18.0,
2008-04,37.3,
2008-07,46.9,
2008-10,38.2,
2009-01,14.0,
2009-04,21.5,
2009-07,-18.2,
2009-10,-21.5,
2010-01,-3.0,
2010-04,-6.3,
2010-07,-24.4,
2010-10,-9.3,
2011-01,-8.0,
2011-04,8.1,
2011-07,0.8,
2011-10,14.3,
2012-01,6.1,
2012-04,-13.0,
2012-07,-15.5,
2012-10,-31.6,
2013-01,-61.3,
2013-04,-24.9,
2013-07,-18.4,
2013-10,-27.9,
2014-01,-12.0,
