"",BBEX3.M.ANG.EUR.CA.AC.A01,BBEX3.M.ANG.EUR.CA.AC.A01_FLAGS
"","Exchange rates for the euro in the Netherlands Antilles and in Curaçao and Sint Maarten (southern part), respectively / EUR 100 = ANG ... (middle)",
unit,ANG (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:36,
1999-01,204.795,
1999-02,198.215,
1999-03,193.250,
1999-04,190.765,
1999-05,188.105,
1999-06,185.800,
1999-07,192.385,
1999-08,190.210,
1999-09,191.865,
1999-10,188.045,
1999-11,181.645,
1999-12,180.725,
2000-01,176.140,
2000-02,174.755,
2000-03,171.855,
2000-04,163.440,
2000-05,167.360,
2000-06,171.915,
2000-07,166.280,
2000-08,160.220,
2000-09,157.680,
2000-10,151.420,
2000-11,156.225,
2000-12,167.400,
2001-01,167.180,
2001-02,166.370,
2001-03,158.885,
2001-04,162.320,
2001-05,152.555,
2001-06,152.555,
2001-07,157.500,
2001-08,164.755,
2001-09,164.265,
2001-10,162.665,
2001-11,160.075,
2001-12,158.545,
2002-01,155.380,
2002-02,155.630,
2002-03,156.945,
2002-04,162.590,
2002-05,168.875,
2002-06,179.450,
2002-07,175.995,
2002-08,176.895,
2002-09,177.380,
2002-10,177.450,
2002-11,178.585,
2002-12,188.660,
2003-01,194.580,
2003-02,193.965,
2003-03,196.005,
2003-04,197.095,
2003-05,212.680,
2003-06,205.570,
2003-07,203.610,
2003-08,196.580,
2003-09,209.620,
2003-10,209.075,
2003-11,215.770,
2003-12,227.215,
2004-01,222.790,
2004-02,223.400,
2004-03,219.910,
2004-04,212.750,
2004-05,219.440,
2004-06,218.670,
2004-07,216.580,
2004-08,217.875,
2004-09,223.235,
2004-10,229.135,
2004-11,239.175,
2004-12,245.045,
2005-01,234.500,
2005-02,238.490,
2005-03,233.225,
2005-04,233.095,
2005-05,221.835,
2005-06,217.530,
2005-07,217.550,
2005-08,219.440,
2005-09,216.635,
2005-10,216.295,
2005-11,211.725,
2005-12,212.225,
2006-01,218.005,
2006-02,213.630,
2006-03,217.750,
2006-04,225.540,
2006-05,231.495,
2006-06,228.705,
2006-07,229.680,
2006-08,231.185,
2006-09,227.750,
2006-10,228.400,
2006-11,237.470,
2006-12,236.925,
2007-01,233.045,
2007-02,237.665,
2007-03,239.590,
2007-04,245.440,
2007-05,242.015,
2007-06,242.955,
2007-07,246.590,
2007-08,246.550,
2007-09,255.080,
2007-10,259.900,
2007-11,265.550,
2007-12,264.830,
2008-01,267.510,
2008-02,272.855,
2008-03,284.455,
2008-04,280.125,
2008-05,278.990,
2008-06,283.590,
2008-07,280.840,
2008-08,265.085,
2008-09,257.310,
2008-10,229.500,
2008-11,228.955,
2008-12,250.365,
2009-01,230.560,
2009-02,227.465,
2009-03,239.410,
2009-04,238.655,
2009-05,253.620,
2009-06,254.270,
2009-07,254.340,
2009-08,256.750,
2009-09,263.425,
2009-10,266.255,
2009-11,270.265,
2009-12,259.165,
2010-01,251.245,
2010-02,244.125,
2010-03,242.490,
2010-04,238.475,
2010-05,221.400,
2010-06,220.755,
2010-07,234.375,
2010-08,228.115,
2010-09,245.530,
2010-10,249.285,
2010-11,233.835,
2010-12,240.380,
2011-01,246.320,
2011-02,248.875,
2011-03,255.580,
2011-04,267.330,
2011-05,258.785,
2011-06,260.010,
2011-07,256.540,
2011-08,259.955,
2011-09,242.920,
2011-10,251.875,
2011-11,241.390,
2011-12,232.770,
2012-01,237.035,
2012-02,241.840,
2012-03,240.275,
2012-04,237.990,
2012-05,223.125,
2012-06,226.490,
2012-07,220.985,
2012-08,226.870,
2012-09,232.610,
2012-10,233.740,
2012-11,233.620,
2012-12,237.360,
2013-01,243.765,
2013-02,236.190,
2013-03,230.360,
2013-04,235.905,
2013-05,233.975,
2013-06,235.310,
2013-07,238.815,
2013-08,238.095,
2013-09,242.955,
2013-10,245.400,
2013-11,244.860,
2013-12,248.095,
2014-01,243.155,
2014-02,248.495,
2014-03,248.045,
2014-04,248.730,
2014-05,244.790,
2014-06,245.710,
2014-07,240.690,
2014-08,237.250,
2014-09,226.370,
2014-10,225.305,
2014-11,224.570,
2014-12,218.415,
2015-01,203.380,
"","General: The Netherlands Antilles, a Dutch overseas territory in the Caribbean, was dissolved with effect from 10 October 2010. Curaçao and Sint Maarten (the southern part) are now autonomous countries within the Kingdom of the Netherlands. Meanwhile, the islands of Bonaire, St Eustatius and Saba (also known as the BES islands) received the status ""specialmunicipalities"" of the Netherlands. Until the end of December 2010, the Netherlands Antillean guilder also remained legal tender on the BES islands, but was replaced by the US dollar at the beginning of 2011.",
"","Source: Calculated on the basis of the buying and selling rates of the following banks: Since October 2010: Centrale Bank van Curaçao en Sint Maarten, Willemstad. 1999 - September 2010: Bank van de Nederlandse Antillen, Willemstad.",
