"",BBFN1.M.DE.N.1.A.NZ.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.NZ.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1984-04,0.007,
1984-05,0.006,
1984-06,0.006,
1984-07,0.006,
1984-08,0.004,
1984-09,0.005,
1984-10,0.005,
1984-11,0.005,
1984-12,0.006,
1985-01,0.011,
1985-02,0.011,
1985-03,0.007,
1985-04,0.007,
1985-05,0.006,
1985-06,0.008,
1985-07,0.011,
1985-08,0.009,
1985-09,0.008,
1985-10,0.009,
1985-11,0.008,
1985-12,0.008,
1986-01,0.008,
1986-02,0.008,
1986-03,0.008,
1986-04,0.009,
1986-05,0.009,
1986-06,0.010,
1986-07,0.010,
1986-08,0.010,
1986-09,0.008,
1986-10,0.009,
1986-11,0.007,
1986-12,0.008,
1987-01,0.009,
1987-02,0.009,
1987-03,0.014,
1987-04,0.011,
1987-05,0.013,
1987-06,0.009,
1987-07,0.010,
1987-08,0.013,
1987-09,0.017,
1987-10,0.009,
1987-11,0.013,
1987-12,0.014,
1988-01,0.013,
1988-02,0.014,
1988-03,0.014,
1988-04,0.016,
1988-05,0.020,
1988-06,0.018,
1988-07,0.017,
1988-08,0.020,
1988-09,0.014,
1988-10,0.011,
1988-11,0.010,
1988-12,0.011,
1989-01,0.012,
1989-02,0.016,
1989-03,0.017,
1989-04,0.011,
1989-05,0.020,
1989-06,0.015,
1989-07,0.012,
1989-08,0.008,
1989-09,0.007,
1989-10,0.013,
1989-11,0.009,
1989-12,0.011,
1990-01,0.010,
1990-02,0.012,
1990-03,0.012,
1990-04,0.009,
1990-05,0.021,
1990-06,0.013,
1990-07,0.013,
1990-08,0.013,
1990-09,0.014,
1990-10,0.014,
1990-11,0.014,
1990-12,0.015,
1991-01,0.021,
1991-02,0.016,
1991-03,0.020,
1991-04,0.021,
1991-05,0.021,
1991-06,0.016,
1991-07,0.025,
1991-08,0.024,
1991-09,0.042,
1991-10,0.019,
1991-11,0.019,
1991-12,0.013,
1992-01,0.011,
1992-02,0.011,
1992-03,0.013,
1992-04,0.021,
1992-05,0.026,
1992-06,0.042,
1992-07,0.081,
1992-08,0.077,
1992-09,0.059,
1992-10,0.016,
1992-11,0.017,
1992-12,0.019,
1993-01,0.018,
1993-02,0.017,
1993-03,0.017,
1993-04,0.016,
1993-05,0.018,
1993-06,0.017,
1993-07,0.026,
1993-08,0.031,
1993-09,0.024,
1993-10,0.019,
1993-11,0.020,
1993-12,0.019,
1994-01,0.022,
1994-02,0.020,
1994-03,0.020,
1994-04,0.019,
1994-05,0.022,
1994-06,0.052,
1994-07,0.082,
1994-08,0.079,
1994-09,0.065,
1994-10,0.061,
1994-11,0.070,
1994-12,0.026,
1995-01,0.025,
1995-02,0.025,
1995-03,0.033,
1995-04,0.032,
1995-05,0.027,
1995-06,0.028,
1995-07,0.030,
1995-08,0.033,
1995-09,0.034,
1995-10,0.036,
1995-11,0.037,
1995-12,0.034,
1996-01,0.038,
1996-02,0.044,
1996-03,0.046,
1996-04,0.051,
1996-05,0.066,
1996-06,0.063,
1996-07,0.054,
1996-08,0.064,
1996-09,0.074,
1996-10,0.089,
1996-11,0.083,
1996-12,0.066,
1997-01,0.092,
1997-02,0.079,
1997-03,0.079,
1997-04,0.088,
1997-05,0.111,
1997-06,0.104,
1997-07,0.103,
1997-08,0.116,
1997-09,0.120,
1997-10,0.108,
1997-11,0.107,
1997-12,0.109,
1998-01,0.114,
1998-02,0.119,
1998-03,0.118,
1998-04,0.115,
1998-05,0.119,
1998-06,0.112,
1998-07,0.114,
1998-08,0.115,
1998-09,0.110,
1998-10,0.110,
1998-11,0.102,
1998-12,0.093,
1999-01,0.058,
1999-02,0.057,
1999-03,0.055,
1999-04,0.053,
1999-05,0.050,
1999-06,0.073,
1999-07,0.072,
1999-08,0.075,
1999-09,0.074,
1999-10,0.077,
1999-11,0.074,
1999-12,0.080,
2000-01,0.086,
2000-02,0.057,
2000-03,0.063,
2000-04,0.065,
2000-05,0.143,
2000-06,0.056,
2000-07,0.067,
2000-08,0.062,
2000-09,0.058,
2000-10,0.038,
2000-11,0.039,
2000-12,0.043,
2001-01,0.040,
2001-02,0.040,
2001-03,0.042,
2001-04,0.092,
2001-05,0.049,
2001-06,0.078,
2001-07,0.077,
2001-08,0.041,
2001-09,0.039,
2001-10,0.038,
2001-11,0.038,
2001-12,0.043,
2002-01,0.035,
2002-02,0.039,
2002-03,0.044,
2002-04,0.040,
2002-05,0.043,
2002-06,0.046,
2002-07,0.040,
2002-08,0.086,
2002-09,0.043,
2002-10,0.071,
2002-11,0.079,
2002-12,0.077,
2003-01,0.069,
2003-02,0.073,
2003-03,0.071,
2003-04,0.071,
2003-05,0.066,
2003-06,0.072,
2003-07,0.077,
2003-08,0.087,
2003-09,0.081,
2003-10,0.084,
2003-11,0.114,
2003-12,0.112,
2004-01,0.106,
2004-02,0.102,
2004-03,0.121,
2004-04,0.124,
2004-05,0.091,
2004-06,0.093,
2004-07,0.141,
2004-08,0.144,
2004-09,0.118,
2004-10,0.065,
2004-11,0.068,
2004-12,0.106,
2005-01,0.057,
2005-02,0.080,
2005-03,0.068,
2005-04,0.089,
2005-05,0.068,
2005-06,0.076,
2005-07,0.058,
2005-08,0.056,
2005-09,0.064,
2005-10,0.113,
2005-11,0.059,
2005-12,0.060,
2006-01,0.055,
2006-02,0.054,
2006-03,0.045,
2006-04,0.048,
2006-05,0.053,
2006-06,0.061,
2006-07,0.059,
2006-08,0.062,
2006-09,0.051,
2006-10,0.055,
2006-11,0.055,
2006-12,0.070,
2007-01,0.042,
2007-02,0.044,
2007-03,0.042,
2007-04,0.036,
2007-05,0.107,
2007-06,0.118,
2007-07,0.118,
2007-08,0.124,
2007-09,0.128,
2007-10,0.147,
2007-11,0.210,
2007-12,0.210,
2008-01,0.273,
2008-02,0.262,
2008-03,0.277,
2008-04,0.216,
2008-05,0.275,
2008-06,0.230,
2008-07,0.172,
2008-08,0.111,
2008-09,0.115,
2008-10,0.061,
2008-11,0.108,
2008-12,0.065,
2009-01,0.059,
2009-02,.,No value available
2009-03,.,No value available
2009-04,0.051,
2009-05,0.061,
2009-06,0.071,
2009-07,0.099,
2009-08,0.118,
2009-09,0.122,
2009-10,0.117,
2009-11,0.100,
2009-12,0.072,
2010-01,0.081,
2010-02,0.080,
2010-03,0.088,
2010-04,0.086,
2010-05,0.094,
2010-06,0.101,
2010-07,0.101,
2010-08,0.079,
2010-09,0.094,
2010-10,0.099,
2010-11,0.128,
2010-12,0.118,
2011-01,0.133,
2011-02,0.140,
2011-03,0.134,
2011-04,0.145,
2011-05,0.142,
2011-06,0.150,
2011-07,0.143,
2011-08,0.144,
2011-09,0.142,
2011-10,0.144,
2011-11,0.147,
2011-12,0.122,
2012-01,0.114,
2012-02,0.072,
2012-03,0.081,
2012-04,0.095,
2012-05,0.103,
2012-06,0.155,
2012-07,0.085,
2012-08,0.083,
2012-09,0.085,
2012-10,0.090,
2012-11,0.094,
2012-12,0.112,
2013-01,0.112,
2013-02,0.133,
2013-03,0.105,
2013-04,0.094,
2013-05,0.124,
2013-06,0.131,
2013-07,0.110,
2013-08,0.125,
2013-09,0.163,
2013-10,0.168,
2013-11,0.183,
2013-12,0.174,
2014-01,0.156,
2014-02,0.125,
2014-03,0.114,
2014-04,0.114,
2014-05,0.108,
2014-06,0.107,
2014-07,0.122,
2014-08,0.171,
2014-09,0.169,
2014-10,0.201,
2014-11,0.182,
2014-12,0.161,
