"",BBQFS.M.DE.0000.VOL_HIS_DAX._X.0000,BBQFS.M.DE.0000.VOL_HIS_DAX._X.0000_FLAGS
"",Historical volatility on the German stock market (FSR 2014),
unit,% (hypothetically euro-based),
unit multiplier,one,
last update,2015-01-07 17:09:20,
1999-01,29.18,
1999-02,25.50,
1999-03,29.36,
1999-04,20.14,
1999-05,18.28,
1999-06,15.97,
1999-07,24.43,
1999-08,17.85,
1999-09,21.60,
1999-10,21.72,
1999-11,19.62,
1999-12,22.47,
2000-01,27.98,
2000-02,25.10,
2000-03,27.98,
2000-04,23.52,
2000-05,24.94,
2000-06,21.90,
2000-07,18.35,
2000-08,14.61,
2000-09,17.85,
2000-10,22.47,
2000-11,22.64,
2000-12,24.43,
2001-01,15.97,
2001-02,25.10,
2001-03,37.25,
2001-04,24.22,
2001-05,18.21,
2001-06,18.96,
2001-07,21.54,
2001-08,24.53,
2001-09,52.84,
2001-10,35.99,
2001-11,26.82,
2001-12,23.36,
2002-01,20.82,
2002-02,24.79,
2002-03,19.30,
2002-04,19.30,
2002-05,22.13,
2002-06,35.20,
2002-07,57.31,
2002-08,44.34,
2002-09,46.72,
2002-10,57.38,
2002-11,40.40,
2002-12,39.67,
2003-01,33.87,
2003-02,39.44,
2003-03,48.15,
2003-04,37.00,
2003-05,27.57,
2003-06,22.64,
2003-07,21.48,
2003-08,18.35,
2003-09,24.43,
2003-10,23.63,
2003-11,20.07,
2003-12,13.46,
2004-01,13.61,
2004-02,16.05,
2004-03,22.36,
2004-04,18.55,
2004-05,19.75,
2004-06,16.05,
2004-07,19.10,
2004-08,15.40,
2004-09,14.04,
2004-10,17.49,
2004-11,12.64,
2004-12,11.48,
2005-01,11.43,
2005-02,11.85,
2005-03,11.44,
2005-04,16.28,
2005-05,13.07,
2005-06,13.24,
2005-07,12.43,
2005-08,15.13,
2005-09,18.96,
2005-10,17.42,
2005-11,11.92,
2005-12,10.31,
2006-01,18.21,
2006-02,12.45,
2006-03,13.24,
2006-04,13.09,
2006-05,25.80,
2006-06,21.00,
2006-07,21.30,
2006-08,14.06,
2006-09,13.46,
2006-10,10.78,
2006-11,14.46,
2006-12,13.46,
2007-01,13.15,
2007-02,17.85,
2007-03,19.03,
2007-04,14.93,
2007-05,11.87,
2007-06,18.07,
2007-07,21.24,
2007-08,17.20,
2007-09,16.36,
2007-10,12.82,
2007-11,18.07,
2007-12,14.50,
2008-01,40.30,
2008-02,25.65,
2008-03,27.19,
2008-04,17.71,
2008-05,15.07,
2008-06,20.07,
2008-07,20.26,
2008-08,19.56,
2008-09,35.64,
2008-10,72.32,
2008-11,61.66,
2008-12,32.77,
2009-01,34.43,
2009-02,35.02,
2009-03,37.31,
2009-04,32.22,
2009-05,25.10,
2009-06,26.77,
2009-07,24.99,
2009-08,21.60,
2009-09,19.88,
2009-10,23.20,
2009-11,25.30,
2009-12,15.94,
2010-01,20.14,
2010-02,17.92,
2010-03,13.71,
2010-04,19.69,
2010-05,31.01,
2010-06,24.69,
2010-07,17.85,
2010-08,16.82,
2010-09,14.98,
2010-10,13.35,
2010-11,20.26,
2010-12,14.03,
2011-01,13.08,
2011-02,14.53,
2011-03,21.12,
2011-04,18.42,
2011-05,16.75,
2011-06,18.55,
2011-07,16.44,
2011-08,35.92,
2011-09,44.54,
2011-10,37.69,
2011-11,33.80,
2011-12,25.40,
2012-01,18.55,
2012-02,15.06,
2012-03,19.03,
2012-04,24.32,
2012-05,21.00,
2012-06,20.51,
2012-07,25.15,
2012-08,17.92,
2012-09,16.82,
2012-10,15.62,
2012-11,15.34,
2012-12,10.47,
2013-01,11.89,
2013-02,19.88,
2013-03,13.93,
2013-04,18.62,
2013-05,16.97,
2013-06,22.01,
2013-07,15.00,
2013-08,16.28,
2013-09,12.24,
2013-10,11.47,
2013-11,10.46,
2013-12,14.36,
2014-01,16.36,
2014-02,13.11,
2014-03,19.30,
2014-04,18.42,
2014-05,12.43,
2014-06,10.77,
2014-07,15.41,
2014-08,18.28,
2014-09,15.39,
2014-10,21.18,
"",Source: Bloomberg and Bundesbank calculations,
"",Methodology: The historical volatility was calculated on an annualised basis from historical values of the DAX price index using a GARCH model.,
