"",BBEX3.D.ARS.EUR.CA.AC.000,BBEX3.D.ARS.EUR.CA.AC.000_FLAGS
"",Exchange rates for the euro in Argentina / EUR 1 = ARS ... (middle),
unit,ARS (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:38:33,
2002-02-11,1.66490,
2002-02-12,1.58010,
2002-02-13,1.44055,
2002-02-14,1.44055,
2002-02-15,1.65935,
2002-02-16,.,No value available
2002-02-17,.,No value available
2002-02-18,1.69720,
2002-02-19,1.79695,
2002-02-20,1.78420,
2002-02-21,1.69385,
2002-02-22,1.75190,
2002-02-23,.,No value available
2002-02-24,.,No value available
2002-02-25,1.78090,
2002-02-26,1.77070,
2002-02-27,1.80205,
2002-02-28,1.82375,
2002-03-01,1.77235,
2002-03-02,.,No value available
2002-03-03,.,No value available
2002-03-04,1.73950,
2002-03-05,1.73940,
2002-03-06,1.84060,
2002-03-07,1.89770,
2002-03-08,1.91915,
2002-03-09,.,No value available
2002-03-10,.,No value available
2002-03-11,2.01380,
2002-03-12,2.05800,
2002-03-13,2.03360,
2002-03-14,2.05585,
2002-03-15,2.05585,
2002-03-16,.,No value available
2002-03-17,.,No value available
2002-03-18,2.05495,
2002-03-19,2.08835,
2002-03-20,2.15020,
2002-03-21,2.05725,
2002-03-22,2.55125,
2002-03-23,.,No value available
2002-03-24,.,No value available
2002-03-25,2.71700,
2002-03-26,2.49875,
2002-03-27,2.57550,
2002-03-28,.,No value available
2002-03-29,.,No value available
2002-03-30,.,No value available
2002-03-31,.,No value available
2002-04-01,.,No value available
2002-04-02,2.54780,
2002-04-03,2.55420,
2002-04-04,2.30820,
2002-04-05,2.37775,
2002-04-06,.,No value available
2002-04-07,.,No value available
2002-04-08,2.35995,
2002-04-09,2.42155,
2002-04-10,2.42205,
2002-04-11,2.47255,
2002-04-12,2.50615,
2002-04-13,.,No value available
2002-04-14,.,No value available
2002-04-15,2.54980,
2002-04-16,2.42890,
2002-04-17,2.50965,
2002-04-18,2.69365,
2002-04-19,2.76505,
2002-04-20,.,No value available
2002-04-21,.,No value available
2002-04-22,.,No value available
2002-04-23,.,No value available
2002-04-24,.,No value available
2002-04-25,.,No value available
