"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.EE.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.EE.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / Estonia,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:36,
2009-09,5,
2009-10,3,
2009-11,3,
2009-12,3,
2010-01,4,
2010-02,3,
2010-03,3,
2010-04,3,
2010-05,2,
2010-06,2,
2010-07,2,
2010-08,1,
2010-09,1,
2010-10,2,
2010-11,2,
2010-12,2,
2011-01,2,
2011-02,2,
2011-03,2,
2011-04,2,
2011-05,1,
2011-06,1,
2011-07,1,
2011-08,1,
2011-09,1,
2011-10,1,
2011-11,1,
2011-12,1,
2012-01,1,
2012-02,1,
2012-03,1,
2012-04,1,
2012-05,1,
2012-06,1,
2012-07,1,
2012-08,1,
2012-09,1,
2012-10,1,
2012-11,1,
2012-12,1,
2013-01,1,
2013-02,1,
2013-03,1,
2013-04,1,
2013-05,1,
2013-06,1,
2013-07,1,
2013-08,1,
2013-09,1,
2013-10,1,
2013-11,1,
2013-12,1,
2014-01,1,
2014-02,1,
2014-03,1,
2014-04,1,
2014-05,1,
2014-06,1,
2014-07,1,
2014-08,1,
2014-09,1,
2014-10,-,Nothing exists
2014-11,-,Nothing exists
