"",BBAI3.Q.DE.N.V.LE.F52.S125.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F52.S125.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations and pension funds (ICPFs) / Mutual funds shares / units / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:29,
2005-10,356430,
2006-01,367123,
2006-04,362351,
2006-07,376702,
2006-10,385555,
2007-01,393916,
2007-04,406450,
2007-07,407920,
2007-10,409582,
2008-01,396183,
2008-04,395286,
2008-07,392763,
2008-10,379652,
2009-01,378603,
2009-04,393588,
2009-07,418546,
2009-10,426908,
2010-01,447979,
2010-04,461251,
2010-07,482700,
2010-10,501376,
2011-01,508238,
2011-04,512584,
2011-07,514509,
2011-10,522136,
2012-01,549764,
2012-04,561310,
2012-07,588032,
2012-10,611603,
2013-01,629261,
2013-04,626624,
2013-07,641770,
2013-10,660719,
2014-01,694726,
2014-04,723789,
2014-07,745826,
