"",BBAI3.Q.DE.N.V.LE.F4.RV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F4.RV.A1.S.1.N.E.Z_FLAGS
"",Assets / Reinsurance companies / Loans / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:59,
2005-10,69138,
2006-01,67797,
2006-04,66587,
2006-07,65205,
2006-10,64065,
2007-01,63606,
2007-04,64162,
2007-07,60704,
2007-10,57988,
2008-01,57044,
2008-04,56263,
2008-07,55015,
2008-10,53826,
2009-01,53021,
2009-04,52257,
2009-07,51111,
2009-10,50245,
2010-01,50019,
2010-04,49898,
2010-07,50041,
2010-10,50250,
2011-01,50899,
2011-04,51573,
2011-07,51923,
2011-10,52465,
2012-01,53345,
2012-04,54392,
2012-07,54553,
2012-10,54744,
2013-01,54741,
2013-04,54778,
2013-07,55621,
2013-10,57097,
2014-01,57571,
2014-04,58059,
2014-07,58097,
