"",BBSF2.M.1.S.I1250.GEF01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1250.GEF01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Number / Insurance corporations / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:52:30,
2004-01,2,
2004-02,2,
2004-03,2,
2004-04,2,
2004-05,2,
2004-06,2,
2004-07,2,
2004-08,2,
2004-09,2,
2004-10,2,
2004-11,3,
2004-12,3,
2005-01,6,
2005-02,6,
2005-03,19,
2005-04,20,
2005-05,21,
2005-06,22,
2005-07,27,
2005-08,28,
2005-09,30,
2005-10,32,
2005-11,40,
2005-12,45,
2006-01,56,
2006-02,57,
2006-03,56,
2006-04,57,
2006-05,58,
2006-06,61,
2006-07,62,
2006-08,67,
2006-09,67,
2006-10,66,
2006-11,67,
2006-12,67,
2007-01,68,
2007-02,67,
2007-03,67,
2007-04,67,
2007-05,67,
2007-06,71,
2007-07,72,
2007-08,72,
2007-09,72,
2007-10,73,
2007-11,73,
2007-12,70,
2008-01,70,
2008-02,73,
2008-03,71,
2008-04,70,
2008-05,72,
2008-06,74,
2008-07,78,
2008-08,79,
2008-09,82,
2008-10,84,
2008-11,91,
2008-12,88,
2009-01,89,
2009-02,87,
2009-03,89,
2009-04,113,
2009-05,153,
2009-06,154,
2009-07,153,
2009-08,153,
2009-09,144,
2009-10,144,
2009-11,141,
2009-12,135,
2010-01,135,
2010-02,137,
2010-03,139,
2010-04,136,
2010-05,135,
2010-06,123,
2010-07,121,
2010-08,123,
2010-09,124,
2010-10,127,
2010-11,128,
2010-12,126,
2011-01,126,
2011-02,125,
2011-03,123,
2011-04,123,
2011-05,123,
2011-06,122,
2011-07,123,
2011-08,123,
2011-09,128,
2011-10,137,
2011-11,136,
2011-12,133,
2012-01,131,
2012-02,132,
2012-03,133,
2012-04,133,
2012-05,132,
2012-06,137,
2012-07,138,
2012-08,136,
2012-09,136,
2012-10,136,
2012-11,131,
2012-12,126,
2013-01,125,
2013-02,124,
2013-03,124,
2013-04,124,
2013-05,119,
2013-06,117,
2013-07,125,
2013-08,125,
2013-09,126,
2013-10,125,
2013-11,122,
2013-12,118,
2014-01,118,
2014-02,120,
2014-03,118,
2014-04,119,
2014-05,119,
2014-06,118,
2014-07,111,
2014-08,91,
2014-09,91,
2014-10,88,
2014-11,89,
