"",BBK01.CEB7QB,BBK01.CEB7QB_FLAGS
"",Other claims debtor: All sectors   (consolidated)                 creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:45,
1991-01,18.7,
1991-04,18.6,
1991-07,19.3,
1991-10,20.4,
1992-01,21.9,
1992-04,22.5,
1992-07,23.1,
1992-10,22.9,
1993-01,24.0,
1993-04,25.3,
1993-07,26.2,
1993-10,23.5,
1994-01,24.1,
1994-04,26.0,
1994-07,27.1,
1994-10,26.0,
1995-01,21.7,
1995-04,23.0,
1995-07,24.9,
1995-10,24.7,
1996-01,27.1,
1996-04,27.6,
1996-07,28.2,
1996-10,25.6,
1997-01,28.9,
1997-04,29.6,
1997-07,31.0,
1997-10,25.0,
1998-01,27.3,
1998-04,29.8,
1998-07,31.4,
1998-10,27.9,
1999-01,27.9,
1999-04,28.4,
1999-07,29.0,
1999-10,31.1,
2000-01,32.4,
2000-04,32.7,
2000-07,33.0,
2000-10,31.7,
2001-01,33.1,
2001-04,33.5,
2001-07,34.7,
2001-10,33.2,
2002-01,35.7,
2002-04,36.3,
2002-07,37.1,
2002-10,36.1,
2003-01,35.7,
2003-04,35.2,
2003-07,34.4,
2003-10,41.4,
2004-01,42.2,
2004-04,42.0,
2004-07,42.2,
2004-10,42.5,
2005-01,42.6,
2005-04,41.5,
2005-07,41.3,
2005-10,66.1,
2006-01,66.3,
2006-04,66.0,
2006-07,65.4,
2006-10,58.6,
2007-01,59.2,
2007-04,58.6,
2007-07,57.9,
2007-10,53.4,
2008-01,53.4,
2008-04,55.3,
2008-07,56.6,
2008-10,54.2,
2009-01,56.8,
2009-04,54.9,
2009-07,55.3,
2009-10,52.9,
2010-01,55.2,
2010-04,54.8,
2010-07,54.0,
2010-10,54.4,
2011-01,55.2,
2011-04,55.6,
2011-07,55.8,
2011-10,51.9,
2012-01,52.7,
2012-04,52.1,
2012-07,52.3,
2012-10,52.4,
2013-01,54.6,
2013-04,53.5,
2013-07,52.8,
2013-10,53.1,
2014-01,55.3,
