"",BBAI3.Q.DE.N.V.LE.F52M.SV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F52M.SV.A1.S.1.N.E.Z_FLAGS
"",Assets / Property and casualty insurance companies / Money market fund shares / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:45,
2005-10,29,
2006-01,32,
2006-04,24,
2006-07,23,
2006-10,27,
2007-01,22,
2007-04,41,
2007-07,156,
2007-10,166,
2008-01,168,
2008-04,170,
2008-07,176,
2008-10,121,
2009-01,80,
2009-04,80,
2009-07,71,
2009-10,78,
2010-01,117,
2010-04,60,
2010-07,55,
2010-10,45,
2011-01,50,
2011-04,46,
2011-07,58,
2011-10,52,
2012-01,41,
2012-04,42,
2012-07,33,
2012-10,201,
2013-01,38,
2013-04,38,
2013-07,44,
2013-10,65,
2014-01,78,
2014-04,76,
2014-07,76,
