"",BBK01.CEHQ0B,BBK01.CEHQ0B_FLAGS
"",short-term time deposits debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:20,
1991-01,2.9,
1991-04,-0.7,
1991-07,-0.3,
1991-10,-1.4,
1992-01,2.5,
1992-04,-1.0,
1992-07,-0.6,
1992-10,-0.4,
1993-01,3.5,
1993-04,-1.5,
1993-07,-0.2,
1993-10,-0.6,
1994-01,1.6,
1994-04,-0.4,
1994-07,0.2,
1994-10,-1.8,
1995-01,3.5,
1995-04,-1.1,
1995-07,0.1,
1995-10,-2.1,
1996-01,3.4,
1996-04,1.0,
1996-07,0.8,
1996-10,-5.9,
1997-01,3.6,
1997-04,0.2,
1997-07,-0.4,
1997-10,-2.0,
1998-01,6.4,
1998-04,-2.1,
1998-07,0.0,
1998-10,-2.3,
1999-01,3.0,
1999-04,-3.5,
1999-07,-1.3,
1999-10,0.9,
2000-01,3.1,
2000-04,-3.7,
2000-07,-1.0,
2000-10,2.1,
2001-01,2.0,
2001-04,-1.8,
2001-07,1.8,
2001-10,1.5,
2002-01,-2.9,
2002-04,0.2,
2002-07,2.9,
2002-10,2.2,
2003-01,1.7,
2003-04,0.4,
2003-07,-3.4,
2003-10,1.6,
2004-01,4.8,
2004-04,-5.1,
2004-07,4.1,
2004-10,1.6,
2005-01,2.0,
2005-04,-3.1,
2005-07,-1.8,
2005-10,-2.7,
2006-01,0.9,
2006-04,-1.0,
2006-07,0.9,
2006-10,0.0,
2007-01,2.1,
2007-04,0.1,
2007-07,-0.9,
2007-10,5.2,
2008-01,4.4,
2008-04,-3.3,
2008-07,-2.1,
2008-10,1.0,
2009-01,3.3,
2009-04,-6.2,
2009-07,0.3,
2009-10,0.5,
2010-01,-0.4,
2010-04,-2.7,
2010-07,-2.4,
2010-10,-0.7,
2011-01,2.4,
2011-04,0.5,
2011-07,3.1,
2011-10,-1.2,
2012-01,1.1,
2012-04,-2.0,
2012-07,1.1,
2012-10,0.1,
2013-01,-1.7,
2013-04,-0.7,
2013-07,-3.5,
2013-10,1.9,
2014-01,1.0,
