"",BBQFS.Q.DE.BANK.T1_RAT._X.0000,BBQFS.Q.DE.BANK.T1_RAT._X.0000_FLAGS
"",Tier 1 capital ratio of banks in Germany (FSR 2014),
unit,% (hypothetically euro-based),
unit multiplier,one,
last update,2015-01-07 17:09:49,
1999-01,6.53,
1999-04,6.65,
1999-07,6.74,
1999-10,6.68,
2000-01,6.58,
2000-04,6.68,
2000-07,6.53,
2000-10,6.75,
2001-01,6.61,
2001-04,6.62,
2001-07,6.77,
2001-10,6.97,
2002-01,7.06,
2002-04,7.33,
2002-07,7.40,
2002-10,7.54,
2003-01,7.65,
2003-04,7.75,
2003-07,7.73,
2003-10,7.91,
2004-01,7.71,
2004-04,7.79,
2004-07,7.72,
2004-10,7.74,
2005-01,7.59,
2005-04,7.60,
2005-07,7.59,
2005-10,7.75,
2006-01,7.91,
2006-04,8.06,
2006-07,8.05,
2006-10,8.00,
2007-01,8.23,
2007-04,8.45,
2007-07,8.68,
2007-10,8.91,
2008-01,8.91,
2008-04,9.03,
2008-07,9.26,
2008-10,9.41,
2009-01,9.58,
2009-04,10.32,
2009-07,10.53,
2009-10,10.74,
2010-01,10.66,
2010-04,10.73,
2010-07,11.11,
2010-10,11.79,
2011-01,12.21,
2011-04,12.52,
2011-07,12.45,
2011-10,12.13,
2012-01,12.46,
2012-04,13.12,
2012-07,13.46,
2012-10,14.03,
2013-01,14.10,
2013-04,14.99,
2013-07,15.11,
2013-10,15.33,
2014-01,14.06,
2014-04,14.81,
"","Methodology: Tier 1 capital in relation to risk-weighted assets. Linear interpolation of leverage and tier 1 capital ratio in 2007. Revised valuation of tier 1 capital and risk-weighted assets apply as of 2007, 2011 and 2014 due to EU Capital Requirements Directives CRD II, CRD III and CRD IV respectively.",
