"",BBFN1.M.DE.N.1.L.NG.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.NG.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1994-11,0.013,
1994-12,0.013,
1995-01,0.013,
1995-02,0.013,
1995-03,0.013,
1995-04,0.013,
1995-05,0.013,
1995-06,0.013,
1995-07,0.013,
1995-08,0.013,
1995-09,0.013,
1995-10,0.012,
1995-11,0.011,
1995-12,0.038,
1996-01,0.015,
1996-02,0.015,
1996-03,0.015,
1996-04,0.014,
1996-05,0.015,
1996-06,0.015,
1996-07,0.014,
1996-08,0.014,
1996-09,0.021,
1996-10,0.017,
1996-11,0.014,
1996-12,0.014,
1997-01,0.014,
1997-02,0.010,
1997-03,0.010,
1997-04,0.010,
1997-05,0.010,
1997-06,0.010,
1997-07,0.010,
1997-08,0.010,
1997-09,0.011,
1997-10,0.011,
1997-11,0.011,
1997-12,0.011,
1998-01,0.010,
1998-02,0.011,
1998-03,0.011,
1998-04,0.001,
1998-05,0.001,
1998-06,0.001,
1998-07,0.001,
1998-08,0.001,
1998-09,0.001,
1998-10,0.001,
1998-11,0.001,
1998-12,0.002,
1999-01,0.001,
1999-02,0.002,
1999-03,0.001,
1999-04,0.003,
1999-05,0.004,
1999-06,0.003,
1999-07,0.004,
1999-08,0.005,
1999-09,0.004,
1999-10,0.003,
1999-11,0.004,
1999-12,0.006,
2000-01,0.006,
2000-02,0.006,
2000-03,0.006,
2000-04,0.008,
2000-05,0.006,
2000-06,0.005,
2000-07,0.006,
2000-08,0.005,
2000-09,0.002,
2000-10,0.003,
2000-11,0.003,
2000-12,0.003,
2001-01,0.003,
2001-02,0.003,
2001-03,0.007,
2001-04,0.007,
2001-05,0.009,
2001-06,0.009,
2001-07,0.008,
2001-08,0.014,
2001-09,0.010,
2001-10,0.011,
2001-11,0.008,
2001-12,0.013,
2002-01,0.016,
2002-02,0.019,
2002-03,0.017,
2002-04,0.019,
2002-05,0.016,
2002-06,0.017,
2002-07,0.015,
2002-08,0.020,
2002-09,0.018,
2002-10,0.014,
2002-11,0.012,
2002-12,0.007,
2003-01,0.006,
2003-02,0.006,
2003-03,0.007,
2003-04,0.006,
2003-05,0.007,
2003-06,0.006,
2003-07,0.007,
2003-08,0.009,
2003-09,0.010,
2003-10,0.009,
2003-11,0.008,
2003-12,0.006,
2004-01,0.009,
2004-02,0.008,
2004-03,0.006,
2004-04,0.003,
2004-05,0.004,
2004-06,0.004,
2004-07,0.003,
2004-08,0.003,
2004-09,0.006,
2004-10,0.005,
2004-11,0.005,
2004-12,0.004,
2005-01,0.004,
2005-02,0.020,
2005-03,0.016,
2005-04,0.010,
2005-05,0.008,
2005-06,0.008,
2005-07,0.038,
2005-08,0.023,
2005-09,0.031,
2005-10,0.031,
2005-11,0.024,
2005-12,0.025,
2006-01,0.020,
2006-02,0.023,
2006-03,0.021,
2006-04,0.020,
2006-05,0.016,
2006-06,0.013,
2006-07,0.011,
2006-08,0.009,
2006-09,0.008,
2006-10,0.005,
2006-11,0.004,
2006-12,0.004,
2007-01,0.013,
2007-02,0.011,
2007-03,0.009,
2007-04,0.009,
2007-05,0.005,
2007-06,0.004,
2007-07,0.003,
2007-08,0.009,
2007-09,0.027,
2007-10,0.023,
2007-11,0.028,
2007-12,0.032,
2008-01,0.032,
2008-02,0.021,
2008-03,0.017,
2008-04,0.002,
2008-05,0.013,
2008-06,0.029,
2008-07,0.051,
2008-08,0.048,
2008-09,0.053,
2008-10,0.042,
2008-11,0.047,
2008-12,0.147,
2009-01,0.146,
2009-02,0.120,
2009-03,0.109,
2009-04,0.095,
2009-05,0.059,
2009-06,0.118,
2009-07,0.115,
2009-08,0.145,
2009-09,0.159,
2009-10,0.159,
2009-11,0.167,
2009-12,0.181,
2010-01,0.184,
2010-02,0.162,
2010-03,0.159,
2010-04,0.163,
2010-05,0.160,
2010-06,0.167,
2010-07,0.160,
2010-08,0.155,
2010-09,0.156,
2010-10,0.171,
2010-11,0.189,
2010-12,0.159,
2011-01,0.145,
2011-02,0.157,
2011-03,0.145,
2011-04,0.136,
2011-05,0.133,
2011-06,0.117,
2011-07,0.059,
2011-08,0.062,
2011-09,0.046,
2011-10,0.049,
2011-11,0.041,
2011-12,0.060,
2012-01,0.035,
2012-02,0.023,
2012-03,0.037,
2012-04,0.013,
2012-05,0.043,
2012-06,0.042,
2012-07,0.043,
2012-08,0.041,
2012-09,0.041,
2012-10,0.052,
2012-11,0.046,
2012-12,0.035,
2013-01,0.028,
2013-02,0.022,
2013-03,0.022,
2013-04,0.029,
2013-05,0.049,
2013-06,0.049,
2013-07,0.028,
2013-08,0.028,
2013-09,0.028,
2013-10,0.028,
2013-11,0.028,
2013-12,0.027,
2014-01,0.028,
2014-02,0.027,
2014-03,0.028,
2014-04,0.027,
2014-05,0.027,
2014-06,0.028,
2014-07,0.028,
2014-08,0.027,
2014-09,0.002,
2014-10,0.003,
2014-11,0.002,
2014-12,0.002,
