"",BBFN1.M.DE.N.1.L.HU.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.HU.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1991-01,-,Nothing exists
1991-02,-,Nothing exists
1991-03,0.001,
1991-04,0.001,
1991-05,0.001,
1991-06,0.001,
1991-07,0.001,
1991-08,0.001,
1991-09,0.001,
1991-10,0.001,
1991-11,0.001,
1991-12,0.001,
1992-01,0.001,
1992-02,0.001,
1992-03,0.001,
1992-04,0.001,
1992-05,0.001,
1992-06,0.001,
1992-07,0.001,
1992-08,0.001,
1992-09,0.001,
1992-10,0.001,
1992-11,0.001,
1992-12,0.001,
1993-01,0.001,
1993-02,0.001,
1993-03,0.001,
1993-04,0.001,
1993-05,0.001,
1993-06,0.001,
1993-07,0.001,
1993-08,0.001,
1993-09,0.001,
1993-10,0.002,
1993-11,0.002,
1993-12,0.001,
1994-01,0.002,
1994-02,0.002,
1994-03,0.002,
1994-04,0.002,
1994-05,0.002,
1994-06,0.002,
1994-07,0.002,
1994-08,0.002,
1994-09,0.002,
1994-10,0.002,
1994-11,0.002,
1994-12,0.002,
1995-01,0.002,
1995-02,0.002,
1995-03,0.002,
1995-04,0.002,
1995-05,0.002,
1995-06,.,No value available
1995-07,.,No value available
1995-08,.,No value available
1995-09,.,No value available
1995-10,.,No value available
1995-11,.,No value available
1995-12,0.000,
1996-01,0.000,
1996-02,0.000,
1996-03,0.000,
1996-04,0.000,
1996-05,0.000,
1996-06,0.000,
1996-07,0.000,
1996-08,0.000,
1996-09,0.000,
1996-10,0.000,
1996-11,0.000,
1996-12,0.000,
1997-01,0.000,
1997-02,0.000,
1997-03,0.000,
1997-04,0.000,
1997-05,0.000,
1997-06,0.000,
1997-07,0.000,
1997-08,0.000,
1997-09,0.000,
1997-10,0.000,
1997-11,0.000,
1997-12,0.000,
1998-01,0.000,
1998-02,0.000,
1998-03,0.000,
1998-04,0.000,
1998-05,0.000,
1998-06,0.000,
1998-07,0.000,
1998-08,0.000,
1998-09,0.000,
1998-10,0.000,
1998-11,0.000,
1998-12,0.000,
1999-01,0.000,
1999-02,0.001,
1999-03,0.001,
1999-04,0.001,
1999-05,0.001,
1999-06,0.001,
1999-07,0.001,
1999-08,0.001,
1999-09,0.000,
1999-10,0.001,
1999-11,0.001,
1999-12,0.001,
2000-01,0.001,
2000-02,0.001,
2000-03,0.001,
2000-04,0.001,
2000-05,0.001,
2000-06,0.000,
2000-07,0.000,
2000-08,0.000,
2000-09,0.000,
2000-10,0.000,
2000-11,0.000,
2000-12,0.003,
2001-01,0.132,
2001-02,0.130,
2001-03,0.129,
2001-04,0.132,
2001-05,0.133,
2001-06,0.142,
2001-07,0.146,
2001-08,0.146,
2001-09,0.146,
2001-10,0.147,
2001-11,0.155,
2001-12,0.152,
2002-01,0.193,
2002-02,0.193,
2002-03,0.193,
2002-04,0.192,
2002-05,0.192,
2002-06,0.192,
2002-07,0.199,
2002-08,0.203,
2002-09,0.233,
2002-10,0.232,
2002-11,0.233,
2002-12,0.163,
2003-01,0.149,
2003-02,0.149,
2003-03,0.149,
2003-04,0.150,
2003-05,0.154,
2003-06,0.154,
2003-07,0.154,
2003-08,0.153,
2003-09,0.157,
2003-10,0.104,
2003-11,0.106,
2003-12,0.046,
2004-01,0.045,
2004-02,0.063,
2004-03,0.062,
2004-04,0.062,
2004-05,0.062,
2004-06,0.050,
2004-07,0.032,
2004-08,0.034,
2004-09,0.034,
2004-10,0.034,
2004-11,0.034,
2004-12,0.034,
2005-01,0.034,
2005-02,0.034,
2005-03,0.034,
2005-04,0.035,
2005-05,2.920,
2005-06,2.897,
2005-07,2.899,
2005-08,2.897,
2005-09,2.899,
2005-10,2.900,
2005-11,2.900,
2005-12,2.897,
2006-01,0.096,
2006-02,0.113,
2006-03,0.113,
2006-04,0.112,
2006-05,0.106,
2006-06,0.108,
2006-07,0.108,
2006-08,0.108,
2006-09,0.110,
2006-10,0.110,
2006-11,0.106,
2006-12,0.104,
2007-01,0.106,
2007-02,0.106,
2007-03,0.106,
2007-04,0.103,
2007-05,0.102,
2007-06,0.103,
2007-07,0.118,
2007-08,0.108,
2007-09,0.091,
2007-10,0.090,
2007-11,0.090,
2007-12,0.089,
2008-01,0.089,
2008-02,0.087,
2008-03,0.087,
2008-04,0.084,
2008-05,0.084,
2008-06,0.091,
2008-07,0.092,
2008-08,0.097,
2008-09,0.099,
2008-10,0.118,
2008-11,0.118,
2008-12,0.110,
2009-01,0.115,
2009-02,0.155,
2009-03,0.149,
2009-04,0.137,
2009-05,0.139,
2009-06,0.139,
2009-07,0.138,
2009-08,0.138,
2009-09,0.135,
2009-10,0.133,
2009-11,0.133,
2009-12,0.218,
2010-01,0.220,
2010-02,0.194,
2010-03,0.158,
2010-04,0.158,
2010-05,0.165,
2010-06,0.163,
2010-07,0.162,
2010-08,0.164,
2010-09,0.296,
2010-10,0.295,
2010-11,0.301,
2010-12,0.302,
2011-01,0.297,
2011-02,0.297,
2011-03,0.294,
2011-04,0.291,
2011-05,0.291,
2011-06,0.295,
2011-07,0.295,
2011-08,0.236,
2011-09,0.241,
2011-10,0.241,
2011-11,0.242,
2011-12,0.242,
2012-01,0.242,
2012-02,0.242,
2012-03,0.244,
2012-04,0.241,
2012-05,0.241,
2012-06,0.237,
2012-07,0.237,
2012-08,0.236,
2012-09,0.237,
2012-10,0.237,
2012-11,0.237,
2012-12,0.238,
2013-01,0.241,
2013-02,0.241,
2013-03,0.244,
2013-04,0.243,
2013-05,0.247,
2013-06,0.245,
2013-07,0.245,
2013-08,0.245,
2013-09,0.249,
2013-10,0.250,
2013-11,0.250,
2013-12,0.252,
2014-01,0.238,
2014-02,0.237,
2014-03,0.235,
2014-04,0.253,
2014-05,0.252,
2014-06,0.255,
2014-07,0.255,
2014-08,0.252,
2014-09,0.250,
2014-10,0.283,
2014-11,0.298,
2014-12,0.163,
