"",BBK01.CEHFI0,BBK01.CEHFI0_FLAGS
"",longer-term loans debtor: Households and non-profit institutions serving households                     creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:00,
1991-01,6.4,
1991-04,9.9,
1991-07,15.7,
1991-10,22.3,
1992-01,10.3,
1992-04,15.5,
1992-07,18.0,
1992-10,21.5,
1993-01,10.9,
1993-04,18.0,
1993-07,21.9,
1993-10,33.3,
1994-01,19.1,
1994-04,20.7,
1994-07,22.5,
1994-10,32.7,
1995-01,6.9,
1995-04,16.8,
1995-07,18.9,
1995-10,27.3,
1996-01,13.5,
1996-04,16.6,
1996-07,19.3,
1996-10,27.0,
1997-01,13.1,
1997-04,18.5,
1997-07,19.1,
1997-10,16.3,
1998-01,7.1,
1998-04,15.5,
1998-07,13.8,
1998-10,30.2,
1999-01,17.1,
1999-04,25.7,
1999-07,17.8,
1999-10,21.5,
2000-01,4.3,
2000-04,15.2,
2000-07,11.1,
2000-10,12.1,
2001-01,2.7,
2001-04,4.1,
2001-07,11.3,
2001-10,6.1,
2002-01,-0.5,
2002-04,2.3,
2002-07,7.3,
2002-10,9.7,
2003-01,0.1,
2003-04,7.3,
2003-07,9.5,
2003-10,7.2,
2004-01,-6.7,
2004-04,6.1,
2004-07,8.1,
2004-10,-0.1,
2005-01,-10.6,
2005-04,5.1,
2005-07,4.4,
2005-10,1.6,
2006-01,-5.9,
2006-04,1.7,
2006-07,5.8,
2006-10,-1.5,
2007-01,-7.8,
2007-04,-2.6,
2007-07,-2.3,
2007-10,-6.7,
2008-01,-8.9,
2008-04,1.1,
2008-07,-1.7,
2008-10,-6.9,
2009-01,-8.1,
2009-04,1.8,
2009-07,5.0,
2009-10,-2.1,
2010-01,-6.5,
2010-04,4.7,
2010-07,6.2,
2010-10,3.0,
2011-01,-3.3,
2011-04,3.9,
2011-07,7.7,
2011-10,5.4,
2012-01,-1.0,
2012-04,5.9,
2012-07,7.1,
2012-10,4.1,
2013-01,-2.1,
2013-04,6.2,
2013-07,8.7,
2013-10,2.0,
2014-01,-0.3,
