"",BBFN1.M.DE.N.1.L.W03100.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W03100.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Emerging economies and developing countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:07,
1995-01,3.479,
1995-02,3.511,
1995-03,3.476,
1995-04,3.451,
1995-05,3.458,
1995-06,3.418,
1995-07,3.372,
1995-08,3.428,
1995-09,4.029,
1995-10,4.500,
1995-11,4.687,
1995-12,4.598,
1996-01,4.616,
1996-02,4.709,
1996-03,4.695,
1996-04,4.751,
1996-05,4.773,
1996-06,4.799,
1996-07,4.869,
1996-08,4.894,
1996-09,4.887,
1996-10,4.788,
1996-11,4.817,
1996-12,4.866,
1997-01,4.938,
1997-02,5.086,
1997-03,5.200,
1997-04,5.370,
1997-05,5.269,
1997-06,5.143,
1997-07,5.366,
1997-08,5.403,
1997-09,5.456,
1997-10,5.473,
1997-11,5.435,
1997-12,5.242,
1998-01,5.358,
1998-02,5.868,
1998-03,5.883,
1998-04,5.875,
1998-05,5.659,
1998-06,5.978,
1998-07,6.049,
1998-08,6.175,
1998-09,6.164,
1998-10,6.218,
1998-11,6.165,
1998-12,5.752,
1999-01,5.890,
1999-02,6.054,
1999-03,6.293,
1999-04,6.399,
1999-05,6.346,
1999-06,6.406,
1999-07,6.270,
1999-08,6.282,
1999-09,6.419,
1999-10,6.964,
1999-11,5.642,
1999-12,5.678,
2000-01,5.730,
2000-02,5.726,
2000-03,5.722,
2000-04,5.703,
2000-05,6.310,
2000-06,6.704,
2000-07,6.782,
2000-08,6.761,
2000-09,6.758,
2000-10,6.800,
2000-11,7.121,
2000-12,6.987,
2001-01,6.829,
2001-02,7.730,
2001-03,7.721,
2001-04,7.761,
2001-05,7.717,
2001-06,7.923,
2001-07,7.840,
2001-08,7.849,
2001-09,7.696,
2001-10,7.737,
2001-11,7.520,
2001-12,7.639,
2002-01,7.779,
2002-02,7.822,
2002-03,7.804,
2002-04,7.848,
2002-05,7.898,
2002-06,8.282,
2002-07,8.276,
2002-08,8.286,
2002-09,8.311,
2002-10,8.517,
2002-11,8.145,
2002-12,8.028,
2003-01,10.321,
2003-02,10.362,
2003-03,10.519,
2003-04,10.613,
2003-05,11.206,
2003-06,11.190,
2003-07,12.427,
2003-08,12.055,
2003-09,12.193,
2003-10,10.997,
2003-11,11.053,
2003-12,8.975,
2004-01,8.869,
2004-02,9.758,
2004-03,9.724,
2004-04,9.690,
2004-05,9.116,
2004-06,8.846,
2004-07,8.814,
2004-08,8.854,
2004-09,8.710,
2004-10,8.061,
2004-11,7.995,
2004-12,7.073,
2005-01,6.284,
2005-02,6.509,
2005-03,6.485,
2005-04,6.219,
2005-05,5.607,
2005-06,5.402,
2005-07,5.356,
2005-08,5.348,
2005-09,4.955,
2005-10,5.189,
2005-11,5.163,
2005-12,4.955,
2006-01,5.144,
2006-02,5.248,
2006-03,5.189,
2006-04,5.202,
2006-05,5.344,
2006-06,7.200,
2006-07,7.369,
2006-08,7.361,
2006-09,7.771,
2006-10,7.781,
2006-11,9.430,
2006-12,11.796,
2007-01,11.788,
2007-02,12.046,
2007-03,12.682,
2007-04,11.997,
2007-05,11.914,
2007-06,11.944,
2007-07,12.023,
2007-08,12.189,
2007-09,12.059,
2007-10,12.015,
2007-11,11.964,
2007-12,11.961,
2008-01,14.029,
2008-02,14.868,
2008-03,14.885,
2008-04,14.988,
2008-05,15.061,
2008-06,15.337,
2008-07,15.499,
2008-08,15.752,
2008-09,15.704,
2008-10,16.042,
2008-11,16.209,
2008-12,14.483,
2009-01,14.657,
2009-02,14.916,
2009-03,14.490,
2009-04,14.319,
2009-05,14.256,
2009-06,14.195,
2009-07,14.738,
2009-08,14.867,
2009-09,15.180,
2009-10,15.145,
2009-11,15.120,
2009-12,13.945,
2010-01,18.928,
2010-02,18.908,
2010-03,19.105,
2010-04,19.225,
2010-05,23.112,
2010-06,24.212,
2010-07,24.274,
2010-08,24.859,
2010-09,24.826,
2010-10,24.958,
2010-11,25.629,
2010-12,25.599,
2011-01,25.280,
2011-02,24.915,
2011-03,25.167,
2011-04,25.234,
2011-05,25.421,
2011-06,25.611,
2011-07,25.735,
2011-08,25.873,
2011-09,26.108,
2011-10,24.963,
2011-11,26.190,
2011-12,26.313,
2012-01,24.681,
2012-02,24.934,
2012-03,24.726,
2012-04,25.251,
2012-05,24.714,
2012-06,23.912,
2012-07,24.109,
2012-08,24.091,
2012-09,23.978,
2012-10,23.574,
2012-11,23.598,
2012-12,23.646,
2013-01,24.741,
2013-02,24.736,
2013-03,24.761,
2013-04,24.443,
2013-05,24.935,
2013-06,23.914,
2013-07,24.232,
2013-08,23.757,
2013-09,24.457,
2013-10,24.214,
2013-11,24.657,
2013-12,24.903,
2014-01,24.640,
2014-02,24.730,
2014-03,25.055,
2014-04,26.018,
2014-05,25.810,
2014-06,26.219,
2014-07,25.484,
2014-08,25.744,
2014-09,25.945,
2014-10,25.722,
2014-11,25.864,
2014-12,25.148,
"","General: All countries that are not regarded as industrial countries. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
