"",BBSF2.M.1.S.I0122.IMM01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.IMM01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
2000-09,-,Nothing exists
2000-10,-,Nothing exists
2000-11,-,Nothing exists
2000-12,-,Nothing exists
2001-01,-,Nothing exists
2001-02,-,Nothing exists
2001-03,-,Nothing exists
2001-04,-,Nothing exists
2001-05,-,Nothing exists
2001-06,-,Nothing exists
2001-07,0,
2001-08,-,Nothing exists
2001-09,12,
2001-10,6,
2001-11,-,Nothing exists
2001-12,8,
2002-01,-,Nothing exists
2002-02,1,
2002-03,1,
2002-04,-,Nothing exists
2002-05,-,Nothing exists
2002-06,-,Nothing exists
2002-07,6,
2002-08,0,
2002-09,6,
2002-10,-,Nothing exists
2002-11,33,
2002-12,2,
2003-01,-,Nothing exists
2003-02,-,Nothing exists
2003-03,2,
2003-04,17,
2003-05,1,
2003-06,14,
2003-07,-,Nothing exists
2003-08,-,Nothing exists
2003-09,-,Nothing exists
2003-10,31,
2003-11,1,
2003-12,-,Nothing exists
2004-01,-,Nothing exists
2004-02,3,
2004-03,-,Nothing exists
2004-04,5,
2004-05,-,Nothing exists
2004-06,0,
2004-07,15,
2004-08,1,
2004-09,1,
2004-10,22,
2004-11,-,Nothing exists
2004-12,15,
2005-01,46,
2005-02,-,Nothing exists
2005-03,0,
2005-04,0,
2005-05,82,
2005-06,-,Nothing exists
2005-07,-,Nothing exists
2005-08,0,
2005-09,22,
2005-10,-,Nothing exists
2005-11,7,
2005-12,99,
2006-01,-,Nothing exists
2006-02,28,
2006-03,10,
2006-04,-,Nothing exists
2006-05,1300,
2006-06,-,Nothing exists
2006-07,32,
2006-08,0,
2006-09,9,
2006-10,-,Nothing exists
2006-11,13,
2006-12,-54,
2007-01,6,
2007-02,10,
2007-03,15,
2007-04,13,
2007-05,6,
2007-06,27,
2007-07,20,
2007-08,-259,
2007-09,7,
2007-10,25,
2007-11,6,
2007-12,17,
2008-01,19,
2008-02,10,
2008-03,-576,
2008-04,22,
2008-05,-7,
2008-06,25,
2008-07,29,
2008-08,73,
2008-09,10,
2008-10,40,
2008-11,58,
2008-12,7,
2009-01,39,
2009-02,46,
2009-03,-9,
2009-04,0,
2009-05,150,
2009-06,59,
2009-07,5,
2009-08,152,
2009-09,45,
2009-10,1381,
2009-11,4,
2009-12,65,
2010-01,58,
2010-02,11,
2010-03,7,
2010-04,16,
2010-05,3,
2010-06,39,
2010-07,38,
2010-08,1,
2010-09,13,
2010-10,333,
2010-11,15,
2010-12,107,
2011-01,14,
2011-02,2,
2011-03,32,
2011-04,67,
2011-05,-126,
2011-06,44,
2011-07,108,
2011-08,105,
2011-09,13,
2011-10,17,
2011-11,36,
2011-12,149,
2012-01,6,
2012-02,21,
2012-03,74,
2012-04,48,
2012-05,137,
2012-06,131,
2012-07,54,
2012-08,118,
2012-09,37,
2012-10,38,
2012-11,178,
2012-12,451,
2013-01,146,
2013-02,47,
2013-03,75,
2013-04,29,
2013-05,132,
2013-06,97,
2013-07,-5,
2013-08,216,
2013-09,164,
2013-10,17,
2013-11,87,
2013-12,318,
2014-01,82,
2014-02,78,
2014-03,36,
2014-04,-4,
2014-05,77,
2014-06,-2,
2014-07,74,
2014-08,-46,
2014-09,84,
2014-10,115,
2014-11,66,
