"",BBAI3.Q.DE.N.V.LE.F.KV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F.KV.A1.S.1.N.E.Z_FLAGS
"",Assets / Health insurance companies / Total financial assets / liabilities / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:31,
2005-10,124966,
2006-01,127426,
2006-04,129943,
2006-07,132731,
2006-10,136567,
2007-01,139515,
2007-04,142781,
2007-07,145052,
2007-10,148120,
2008-01,149803,
2008-04,151856,
2008-07,153524,
2008-10,156071,
2009-01,158797,
2009-04,163293,
2009-07,166980,
2009-10,169917,
2010-01,174143,
2010-04,177575,
2010-07,181251,
2010-10,182277,
2011-01,185739,
2011-04,189682,
2011-07,192602,
2011-10,195145,
2012-01,201699,
2012-04,206071,
2012-07,211419,
2012-10,215359,
2013-01,220388,
2013-04,221995,
2013-07,224529,
2013-10,228441,
2014-01,235486,
2014-04,242391,
2014-07,247322,
