"",BBEX3.M.WST.USD.CM.AB.A01,BBEX3.M.WST.USD.CM.AB.A01_FLAGS
"",Exchange rates for the US dollar in Samoa  / WST 1 = USD ... (selling),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:22:14,
1990-01,0.4323,
1990-02,0.4267,
1990-03,0.4204,
1990-04,0.4165,
1990-05,0.4204,
1990-06,0.4247,
1990-07,0.4262,
1990-08,0.4333,
1990-09,0.4371,
1990-10,0.4400,
1990-11,0.4300,
1990-12,0.4241,
1991-01,0.4298,
1991-02,0.4219,
1991-03,0.4168,
1991-04,0.4188,
1991-05,0.4148,
1991-06,0.4136,
1991-07,0.4143,
1991-08,0.4159,
1991-09,0.4112,
1991-10,0.4072,
1991-11,0.4095,
1991-12,0.4041,
1992-01,0.4070,
1992-02,0.4077,
1992-03,0.4079,
1992-04,0.4041,
1992-05,0.4016,
1992-06,0.4047,
1992-07,0.4048,
1992-08,0.4028,
1992-09,0.3986,
1992-10,0.3913,
1992-11,0.3855,
1992-12,0.3865,
1993-01,0.3864,
1993-02,0.3872,
1993-03,0.3922,
1993-04,0.3918,
1993-05,0.3872,
1993-06,0.3841,
1993-07,0.3860,
1993-08,0.3817,
1993-09,0.3789,
1993-10,0.3810,
1993-11,0.3772,
1993-12,0.3790,
1994-01,0.3846,
1994-02,0.3885,
1994-03,0.3813,
1994-04,0.3869,
1994-05,0.3915,
1994-06,0.3939,
1994-07,0.3900,
1994-08,0.3907,
1994-09,0.3903,
1994-10,0.3955,
1994-11,0.3992,
1994-12,0.4027,
1995-01,0.4009,
1995-02,0.4003,
1995-03,0.4046,
1995-04,0.4092,
1995-05,0.4063,
1995-06,0.4068,
1995-07,0.4033,
1995-08,0.3939,
1995-09,0.3950,
1995-10,0.3949,
1995-11,0.3916,
1995-12,0.3912,
1996-01,0.3946,
1996-02,0.3966,
1996-03,0.4033,
1996-04,0.4052,
1996-05,0.4030,
1996-06,0.4033,
1996-07,0.4054,
1996-08,0.4049,
