"",BBK01.CEHEX0,BBK01.CEHEX0_FLAGS
"",short-term loans debtor: Other financial intermediaries                  creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:09,
1991-01,0.6,
1991-04,2.1,
1991-07,-0.1,
1991-10,-1.2,
1992-01,0.1,
1992-04,1.1,
1992-07,1.8,
1992-10,0.5,
1993-01,0.5,
1993-04,0.5,
1993-07,-0.8,
1993-10,0.2,
1994-01,1.4,
1994-04,0.9,
1994-07,0.6,
1994-10,-0.7,
1995-01,3.1,
1995-04,0.8,
1995-07,-1.7,
1995-10,2.3,
1996-01,2.6,
1996-04,-0.4,
1996-07,-1.0,
1996-10,7.3,
1997-01,3.4,
1997-04,6.3,
1997-07,-5.3,
1997-10,1.4,
1998-01,4.8,
1998-04,8.3,
1998-07,-7.4,
1998-10,-0.4,
1999-01,-0.3,
1999-04,11.9,
1999-07,-9.2,
1999-10,7.3,
2000-01,25.5,
2000-04,14.4,
2000-07,-8.9,
2000-10,-2.4,
2001-01,16.5,
2001-04,-6.0,
2001-07,2.2,
2001-10,-17.4,
2002-01,-4.4,
2002-04,-5.8,
2002-07,-0.3,
2002-10,-4.0,
2003-01,20.1,
2003-04,-0.8,
2003-07,3.8,
2003-10,-9.3,
2004-01,8.0,
2004-04,-10.4,
2004-07,-3.4,
2004-10,-1.5,
2005-01,2.4,
2005-04,4.1,
2005-07,20.6,
2005-10,-6.5,
2006-01,30.1,
2006-04,9.8,
2006-07,9.3,
2006-10,-23.4,
2007-01,36.6,
2007-04,15.3,
2007-07,1.0,
2007-10,-21.6,
2008-01,34.8,
2008-04,11.9,
2008-07,-8.0,
2008-10,8.6,
2009-01,20.7,
2009-04,9.9,
2009-07,-14.0,
2009-10,16.7,
2010-01,-30.0,
2010-04,32.9,
2010-07,2.9,
2010-10,0.1,
2011-01,6.6,
2011-04,47.1,
2011-07,49.2,
2011-10,-26.3,
2012-01,30.3,
2012-04,32.5,
2012-07,-16.2,
2012-10,-14.0,
2013-01,34.5,
2013-04,52.6,
2013-07,-38.3,
2013-10,-22.2,
2014-01,15.2,
