"",BBK01.CEHEN0,BBK01.CEHEN0_FLAGS
"",short-term loans debtor: Rest of the world                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:38,
1991-01,4.1,
1991-04,2.8,
1991-07,-1.2,
1991-10,-3.5,
1992-01,1.6,
1992-04,1.5,
1992-07,-1.2,
1992-10,-3.4,
1993-01,3.3,
1993-04,-0.4,
1993-07,0.4,
1993-10,-2.0,
1994-01,3.1,
1994-04,-0.8,
1994-07,-0.4,
1994-10,2.7,
1995-01,2.9,
1995-04,5.7,
1995-07,0.6,
1995-10,0.9,
1996-01,5.0,
1996-04,7.3,
1996-07,2.0,
1996-10,13.4,
1997-01,18.3,
1997-04,5.4,
1997-07,-1.1,
1997-10,5.0,
1998-01,15.0,
1998-04,3.4,
1998-07,5.4,
1998-10,-13.1,
1999-01,49.9,
1999-04,10.6,
1999-07,9.5,
1999-10,12.2,
2000-01,9.1,
2000-04,27.5,
2000-07,-7.8,
2000-10,-19.2,
2001-01,84.0,
2001-04,-20.2,
2001-07,-5.6,
2001-10,-37.2,
2002-01,22.4,
2002-04,-15.7,
2002-07,26.5,
2002-10,-20.9,
2003-01,34.4,
2003-04,-19.8,
2003-07,12.7,
2003-10,7.6,
2004-01,39.0,
2004-04,-40.8,
2004-07,58.4,
2004-10,-16.9,
2005-01,11.0,
2005-04,-10.4,
2005-07,14.8,
2005-10,9.7,
2006-01,-14.4,
2006-04,0.2,
2006-07,36.3,
2006-10,-21.2,
2007-01,35.0,
2007-04,11.1,
2007-07,41.0,
2007-10,21.3,
2008-01,48.2,
2008-04,-10.1,
2008-07,11.4,
2008-10,-24.0,
2009-01,27.1,
2009-04,30.3,
2009-07,-15.3,
2009-10,-8.9,
2010-01,40.4,
2010-04,62.8,
2010-07,50.5,
2010-10,11.2,
2011-01,17.3,
2011-04,20.5,
2011-07,126.4,
2011-10,-25.6,
2012-01,178.4,
2012-04,106.2,
2012-07,-33.0,
2012-10,-41.8,
2013-01,-50.9,
2013-04,-14.0,
2013-07,-19.9,
2013-10,-70.0,
2014-01,-26.9,
