"",BBK01.CEFR0K,BBK01.CEFR0K_FLAGS
"",long-term time deposits  debtor: Total           creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:10,
1999-01,250.4,
1999-04,254.8,
1999-07,263.2,
1999-10,270.0,
2000-01,277.5,
2000-04,283.0,
2000-07,284.6,
2000-10,285.0,
2001-01,288.5,
2001-04,292.8,
2001-07,294.4,
2001-10,296.0,
2002-01,302.0,
2002-04,301.7,
2002-07,301.7,
2002-10,302.9,
2003-01,308.4,
2003-04,308.7,
2003-07,317.0,
2003-10,311.1,
2004-01,316.3,
2004-04,327.3,
2004-07,330.4,
2004-10,334.4,
2005-01,343.3,
2005-04,346.4,
2005-07,349.6,
2005-10,347.9,
2006-01,355.2,
2006-04,363.9,
2006-07,370.5,
2006-10,371.8,
2007-01,381.1,
2007-04,390.5,
2007-07,395.1,
2007-10,395.6,
2008-01,400.6,
2008-04,404.5,
2008-07,404.3,
2008-10,398.9,
2009-01,407.0,
2009-04,410.8,
2009-07,411.4,
2009-10,405.9,
2010-01,409.6,
2010-04,406.0,
2010-07,405.1,
2010-10,397.9,
2011-01,402.5,
2011-04,403.2,
2011-07,402.5,
2011-10,396.6,
2012-01,398.8,
2012-04,397.1,
2012-07,397.3,
2012-10,385.6,
2013-01,389.0,
2013-04,388.0,
2013-07,386.1,
2013-10,381.5,
2014-01,377.4,
2014-04,374.9,
2014-07,370.9,
