"",BBK01.TZ4968,BBK01.TZ4968_FLAGS
"",Monetary capital formation / All maturities / German contribution / Financial transactions (flows) / Seasonally adjusted,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-27 09:16:18,
1999-01,19.0,
1999-02,10.1,
1999-03,8.4,
1999-04,13.4,
1999-05,1.9,
1999-06,5.2,
1999-07,0.6,
1999-08,9.5,
1999-09,18.2,
1999-10,6.9,
1999-11,8.6,
1999-12,8.9,
2000-01,-5.2,
2000-02,1.6,
2000-03,-0.6,
2000-04,11.6,
2000-05,9.4,
2000-06,6.5,
2000-07,7.7,
2000-08,6.8,
2000-09,6.3,
2000-10,4.9,
2000-11,-7.3,
2000-12,-0.5,
2001-01,6.6,
2001-02,3.8,
2001-03,-0.6,
2001-04,-13.1,
2001-05,2.6,
2001-06,9.5,
2001-07,-7.9,
2001-08,6.7,
2001-09,1.2,
2001-10,4.5,
2001-11,7.1,
2001-12,5.1,
2002-01,1.1,
2002-02,2.1,
2002-03,13.4,
2002-04,-8.0,
2002-05,2.9,
2002-06,-3.9,
2002-07,7.3,
2002-08,9.9,
2002-09,3.1,
2002-10,1.3,
2002-11,6.1,
2002-12,-3.0,
2003-01,-0.2,
2003-02,7.0,
2003-03,-1.1,
2003-04,-4.0,
2003-05,-0.5,
2003-06,0.5,
2003-07,3.4,
2003-08,10.1,
2003-09,4.3,
2003-10,4.0,
2003-11,5.6,
2003-12,3.7,
2004-01,-1.9,
2004-02,-2.7,
2004-03,6.6,
2004-04,11.4,
2004-05,6.9,
2004-06,4.0,
2004-07,2.7,
2004-08,7.3,
2004-09,11.9,
2004-10,4.7,
2004-11,2.8,
2004-12,6.2,
2005-01,-2.4,
2005-02,7.9,
2005-03,7.4,
2005-04,10.0,
2005-05,0.0,
2005-06,5.1,
2005-07,1.9,
2005-08,3.0,
2005-09,-3.6,
2005-10,4.5,
2005-11,4.9,
2005-12,-0.8,
2006-01,1.8,
2006-02,20.6,
2006-03,-3.7,
2006-04,0.2,
2006-05,5.8,
2006-06,2.9,
2006-07,10.2,
2006-08,1.0,
2006-09,-3.5,
2006-10,5.4,
2006-11,1.5,
2006-12,9.0,
2007-01,14.4,
2007-02,9.2,
2007-03,-8.8,
2007-04,6.3,
2007-05,1.0,
2007-06,5.1,
2007-07,6.1,
2007-08,-7.3,
2007-09,1.9,
2007-10,4.2,
2007-11,-13.1,
2007-12,1.3,
2008-01,-1.3,
2008-02,-5.2,
2008-03,1.1,
2008-04,-2.7,
2008-05,-8.3,
2008-06,-1.1,
2008-07,2.8,
2008-08,0.9,
2008-09,-5.3,
2008-10,-14.6,
2008-11,-2.2,
2008-12,29.5,
2009-01,-2.1,
2009-02,-11.0,
2009-03,-5.6,
2009-04,-11.3,
2009-05,7.8,
2009-06,29.6,
2009-07,-9.7,
2009-08,3.6,
2009-09,-9.9,
2009-10,-1.1,
2009-11,0.4,
2009-12,-10.4,
2010-01,-7.9,
2010-02,-4.8,
2010-03,1.1,
2010-04,-6.8,
2010-05,-11.3,
2010-06,-10.3,
2010-07,-8.3,
2010-08,-1.7,
2010-09,0.9,
2010-10,1.7,
2010-11,5.1,
2010-12,2.1,
2011-01,4.8,
2011-02,3.5,
2011-03,-5.2,
2011-04,-1.1,
2011-05,-3.9,
2011-06,-1.1,
2011-07,-5.6,
2011-08,1.4,
2011-09,-7.4,
2011-10,1.9,
2011-11,-6.8,
2011-12,-4.9,
2012-01,-26.7,
2012-02,9.8,
2012-03,-8.1,
2012-04,-1.9,
2012-05,-5.9,
2012-06,-4.8,
2012-07,-5.5,
2012-08,-4.1,
2012-09,-5.6,
2012-10,-14.6,
2012-11,-12.3,
2012-12,-8.8,
2013-01,-7.8,
2013-02,-2.9,
2013-03,-8.3,
2013-04,-8.3,
2013-05,-4.6,
2013-06,-8.8,
2013-07,-13.4,
2013-08,-9.6,
2013-09,-1.3,
2013-10,-4.7,
2013-11,-1.7,
2013-12,-2.7,
2014-01,-8.2,
2014-02,-3.3,
2014-03,-5.6,
2014-04,-18.4,
2014-05,17.5,
2014-06,-0.6,
2014-07,-0.5,
2014-08,-2.3,
2014-09,-3.5,
2014-10,-2.3,
2014-11,-0.2,
2014-12,-13.3,Provisional value
2015-01,-0.1,
