"",BBK01.CEHAN0,BBK01.CEHAN0_FLAGS
"",Money market paper debtor: Rest of the world                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:36,
1991-01,0.6,
1991-04,0.0,
1991-07,-0.2,
1991-10,0.3,
1992-01,-0.1,
1992-04,-0.1,
1992-07,0.1,
1992-10,0.2,
1993-01,0.3,
1993-04,-0.4,
1993-07,0.5,
1993-10,0.3,
1994-01,-0.1,
1994-04,0.3,
1994-07,0.4,
1994-10,2.1,
1995-01,-0.5,
1995-04,0.5,
1995-07,-0.7,
1995-10,1.7,
1996-01,-0.7,
1996-04,0.2,
1996-07,-0.6,
1996-10,0.7,
1997-01,0.6,
1997-04,0.0,
1997-07,0.8,
1997-10,-1.0,
1998-01,0.9,
1998-04,-0.4,
1998-07,-0.1,
1998-10,3.0,
1999-01,0.5,
1999-04,-1.1,
1999-07,1.2,
1999-10,0.1,
2000-01,-1.7,
2000-04,-1.4,
2000-07,-1.6,
2000-10,3.1,
2001-01,0.0,
2001-04,1.0,
2001-07,0.4,
2001-10,-2.9,
2002-01,4.5,
2002-04,0.0,
2002-07,1.8,
2002-10,-2.4,
2003-01,1.1,
2003-04,2.7,
2003-07,-4.6,
2003-10,-3.2,
2004-01,1.2,
2004-04,5.9,
2004-07,7.2,
2004-10,-2.3,
2005-01,-3.6,
2005-04,1.2,
2005-07,5.2,
2005-10,2.2,
2006-01,-0.4,
2006-04,8.9,
2006-07,-0.4,
2006-10,-0.9,
2007-01,5.7,
2007-04,4.8,
2007-07,3.2,
2007-10,17.8,
2008-01,1.6,
2008-04,7.8,
2008-07,-0.3,
2008-10,-23.5,
2009-01,-6.3,
2009-04,-2.7,
2009-07,-1.8,
2009-10,-4.9,
2010-01,-0.1,
2010-04,0.6,
2010-07,-0.9,
2010-10,-3.7,
2011-01,2.8,
2011-04,5.7,
2011-07,3.5,
2011-10,-7.8,
2012-01,4.9,
2012-04,-1.0,
2012-07,-0.1,
2012-10,-0.8,
2013-01,0.4,
2013-04,0.7,
2013-07,-0.6,
2013-10,-0.8,
2014-01,6.7,
